stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,14,1,0,4,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,11,42,2,0,0,1,0,5,1,7,1,112,394,12,0,1,0,0
 24-34,0,0,1.64,0.82,0,5.75,0.82,0,0.82,2.46,0,0,0,0,0,0,0,0,4.1,0,0,4.1,55,0,1.64,0,0.82,0,2.46,0,0,0,26.27,161.71,10.67,0,0.82,0,0.82
 36-46,0,0,2.42,0,0,12.09,4.03,0,0,2.42,0,1.61,0,0,0,0,0,0,7.25,0,0.81,8.86,72.51,0,2.42,0.81,0,0,3.22,0,0,0,12.89,5.64,18.53,0,1.61,0,0
 48-58,0,0,0,0,0,30.99,2.87,0,0,9.18,0,0,0.57,0,0,0,0,0,8.61,0,0,6.31,53.94,0,2.3,1.15,0,0,2.3,0,0,0.57,5.74,0,17.79,0,0,0,1.72
 60-70,0,0,0.98,0,0,29.45,6.87,0,0,5.89,0,0,0,0,0,0,0,0.98,10.8,0,0,8.83,42.21,0,0.98,0,0,0.98,0.98,0,0,0.98,3.93,0,9.82,0,0.98,0,0.98
 72-82,0,0,1.96,0,0,22.58,5.89,0.98,0.98,6.87,1.96,0,0,0,0.98,0,0,0,7.85,1.96,0.98,4.91,36.32,1.96,0.98,0.98,0,0,0.98,0,0,0,1.96,0,2.94,0,0,0,0.98
 84-94,0,0,1.06,0,0,11.68,6.37,0,0,4.25,0,0,1.06,2.12,1.06,0,1.06,1.06,11.68,0,1.06,11.68,25.49,0,0,0,0,0,3.19,0,0,0,3.19,0,1.06,0,1.06,1.06,1.06
 96-106,0,1.09,1.09,0,1.09,12.02,2.19,0,0,6.56,1.09,0,1.09,0,0,0,0,1.09,3.28,2.19,1.09,3.28,13.11,0,3.28,3.28,1.09,0,2.19,0,0,0,2.19,0,2.19,0,1.09,1.09,1.09
108-118,0,0,0.77,0.77,1.53,4.6,6.89,0.77,0,2.3,0,0,2.3,0.77,3.83,2.3,0,0.77,3.83,0,0.77,5.36,17.62,0.77,0.77,0.77,0,0,9.96,0,0,0.77,2.3,0,3.06,0.77,0.77,0,2.3
120,0,0,5.88,0,0,5.88,1.96,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,13.72,15.68,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,1.96,0,0
