stage,epidermis,eye,fast_muscle,glial,immune,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1,1,0,0,0,0,0,0,1,1,11,0,0,0,1,1,6,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0.82,0,0,18.06,0.82,0.82,0,0,0,7.39,0,0,1.64,0.82
 36-46,0,7.25,0,1.61,0.81,0,0,0,1.61,0.81,28.2,0.81,0,0,0,0,7.25,0,0,0,0
 48-58,0,6.89,0,1.15,0,0,0,0.57,2.87,0,24.1,0,0.57,0.57,0,0,4.59,0,0,0,1.15
 60-70,0,31.41,0,4.91,0,0,0,0,1.96,0,45.15,0,0,0,0,0,4.91,0,0.98,0.98,0.98
 72-82,0,12.76,0,0.98,0,0,1.96,0,3.93,0,29.45,0.98,0,0,0,0,3.93,0,0,0,0
 84-94,0,10.62,1.06,1.06,0,0,0,0,2.12,0,11.68,0,0,1.06,0,0,1.06,0,0,0,0
 96-106,1.09,2.19,0,5.46,1.09,1.09,0,0,3.28,0,14.21,1.09,0,1.09,0,0,0,0,0,1.09,0
108-118,2.3,4.6,0,1.53,0.77,0,0,0,3.06,0.77,10.72,0,1.53,0,0,0,0.77,0.77,0,0.77,2.3
120,0,1.96,0,0,0,0,0,0,1.96,0,19.6,0,0,0,0,0,0,0,0,0,0
