stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,24.52,239.06,0,0,0,0,0,0,6.13,0,0,0,18.39,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,10.51,0,0,0,0,0,0,73.6,7.89,0,0,57.83,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,9.44,0,0,0,0,0,0,97.56,0,0,0,37.76,0,0,6.29,0,3.15,0,0
 14-21,0,0,0,1,2,1,2,0,0,0,4,0,39,2,0,1,3,0,2,1,3,18,0,0
 24-34,0,0,0,0,0,7.39,0.82,0.82,0,0,4.1,1.64,80.44,0,0.82,0,0,0.82,0,0,0.82,20.52,1.64,0
 36-46,0,0,0,0,0,17.72,1.61,0,0,0,3.22,0.81,42.7,0,0,0,0,0,0,0,0,14.5,0,0
 48-58,0,0,0,0,0,18.36,0.57,0,0,0,5.16,0.57,18.36,0,0,0,0,0,0,0,0,5.74,0,0
 60-70,0,0,0,0,0,13.74,0.98,0,0,0,3.93,0,12.76,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,3.93,0.98,0,0,0,2.94,1.96,9.82,0,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,5.31,1.06,1.06,0,0,4.25,0,5.31,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,2.19,1.09,1.09,0,0,1.09,2.19,5.46,0,1.09,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,1.53,0.77,0,0,0.77,2.3,1.53,6.13,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0
