stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.85,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,10.51,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,2,8,1,0,2,0,0,0,1,1,0,0,0,1,0,0,1,1,16,0,0,5,14,1,0,0,0,0,1,0,1,7,10,0,0,0
 24-34,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0,0,7.39,0,0,1.64,27.09,0,0.82,0,0,0,4.93,0,0,1.64,12.31,0,0.82,0
 36-46,0,0,1.61,0,0,1.61,0,0.81,0,0.81,0.81,0,0,0,0,0,0,0,0,3.22,0,0,0,53.17,0.81,0,0,0,0,2.42,0.81,0,0.81,14.5,0,0.81,0
 48-58,0,0,1.15,0,0,3.44,0,0,0,6.31,0,0,0,0,1.15,0,0.57,0,1.15,4.59,1.15,0.57,0.57,56.81,0,0.57,0,0,0,0.57,0,0,0,8.61,0,0,0
 60-70,0,0,0.98,0,0,26.5,0,1.96,0,10.8,1.96,0,0,0,0,0,0,0,0.98,10.8,0,0,0,75.58,0,0.98,0,0,0,1.96,0,0,0,9.82,0.98,0.98,0.98
 72-82,0,0,1.96,0,0,36.32,0,0,0,16.69,0.98,0,0,0.98,0,0,0.98,0,0,13.74,0,0,0,69.7,0,2.94,1.96,0,0,0.98,0,0,0,9.82,0,1.96,1.96
 84-94,0,0,4.25,0,0,19.12,1.06,0,0,4.25,0,0,0,2.12,2.12,0,0,0,1.06,3.19,0,0,0,30.8,1.06,0,3.19,0,0,4.25,0,0,0,2.12,0,0,1.06
 96-106,0,0,3.28,0,0,19.67,0,1.09,1.09,12.02,2.19,0,0,3.28,2.19,1.09,0,2.19,0,10.93,0,0,1.09,32.79,0,2.19,4.37,0,1.09,3.28,0,0,0,0,0,3.28,2.19
108-118,0,0,4.6,0.77,0,20.68,0,0.77,0,6.13,1.53,0,0.77,2.3,0.77,0,0,0,2.3,3.83,0.77,0,0,55.92,0,1.53,2.3,0,0,2.3,0,0,0,0.77,0.77,1.53,1.53
120,0,0,7.84,0,1.96,21.56,3.92,0,0,7.84,0,0,0,0,3.92,0,0,1.96,0,3.92,5.88,0,0,41.16,0,0,7.84,0,0,1.96,0,0,0,0,0,1.96,0
