stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,8,1,0,0,0,3,0,0,0,1,0,0,1,0,1,49,0,0,0,0,0,2,4,20,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,4.93,0,2.46,0,0,0,0,0,0.82,2.46,0,2.46,131.34,0,0,0.82,0,1.64,0,0,26.27,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,20.14,0,0.81,0,0,0,0,0,0,6.45,0,2.42,111.18,0,0.81,0,0,1.61,0,0,24.17,0,0,0,0
 48-58,0,0,0,0,0,0,0,44.76,0,8.61,0,0,0.57,0,0,0.57,4.02,0.57,0.57,99.84,0.57,0.57,0,0,0.57,0,0,16.64,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,37.3,0.98,2.94,0,0,0,0,0,0,4.91,0,0,64.78,0,0,0.98,0,0,0,0,8.83,0,0,0.98,0
 72-82,0,0,0,0,2.94,0,0,18.65,0,0,0,0.98,0.98,0,0.98,0,7.85,0.98,0,39.27,0,0.98,0,0,0,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,23.36,0,3.19,0,0,0,0,0,0,3.19,0,2.12,38.23,0,0,1.06,0,2.12,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,3.28,3.28,0,18.58,0,3.28,0,0,0,0,0,0,2.19,0,0,20.76,0,0,1.09,0,0,0,0,1.09,0,1.09,0,1.09
108-118,0,0,0,0,0,0.77,0.77,6.89,0,1.53,0.77,0,0,0,1.53,0,3.83,0,0.77,17.62,0,0.77,0.77,0,0.77,0,0,0,1.53,0,0,0
120,0,0,0,0,7.84,0,0,17.64,0,1.96,0,0,0,0,0,0,0,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0,0
