stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,19,0,0,0,0
 24-34,0.82,4.1,0,0,1.64,0,0,0,0,0,0,0.82,0,0,151.04,0,0.82,0,0,0.82,39.4,0,0,1.64,0
 36-46,0,24.98,0,0,0.81,0,0,0,0,0,0,1.61,0,0,277.96,3.22,0,0.81,0,0,62.84,0,0,0,0
 48-58,1.15,98.12,0,0,8.03,0,0,0,0.57,0,0,3.44,0,1.72,315.59,0.57,0,0.57,0,0,50.49,0,0,0,0.57
 60-70,0.98,237.53,0.98,0,5.89,0,0,0,0,0,0,4.91,0,0,396.53,0,0,0,0,0,55.95,0,0,0.98,0
 72-82,0.98,214.98,0,0.98,9.82,0,0,0,0,0,0,4.91,0,0.98,278.79,0.98,0.98,0,0,0,23.56,0,0,0.98,0
 84-94,1.06,144.44,2.12,0,6.37,0,0,0,0,0,0,9.56,0,0,146.56,0,0,0,1.06,0,13.81,0,0,2.12,0
 96-106,0,85.24,2.19,0,5.46,0,2.19,0,3.28,0,2.19,4.37,1.09,2.19,107.1,1.09,0,2.19,0,0,9.84,1.09,1.09,0,0
108-118,2.3,65.87,0,0.77,4.6,0,0,0.77,0.77,0,0,6.13,0,1.53,120.26,0.77,0,0,0.77,0,3.83,0,0,0,2.3
120,0,58.79,0,0,7.84,3.92,0,0,0,1.96,0,0,0,0,141.1,0,0,1.96,0,0,3.92,0,0,0,0
