stage,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vasculature
 14-21,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
 24-34,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0.82,0
 36-46,0.81,0,3.22,0.81,0,0.81,0,4.83,1.61,0,0,0.81,0.81,0,3.22,0
 48-58,0.57,0,5.74,0,0,0.57,0,10.9,0,0,0,1.15,0,0,2.3,0
 60-70,0,0.98,2.94,0,0,0.98,0,3.93,0.98,0,0,0.98,0.98,0,0,0
 72-82,0,0.98,5.89,0,0,1.96,0.98,7.85,0.98,0,0,0.98,0,0,0.98,0
 84-94,0,0,4.25,1.06,0,0,0,3.19,0,0,0,2.12,0,0,0,0
 96-106,1.09,0,3.28,4.37,0,0,0,3.28,0,0,0,0,0,0,0,0
108-118,1.53,0,0.77,0.77,0.77,0,0,4.6,0,0,0.77,0,0,0.77,0.77,1.53
120,1.96,0,1.96,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0
