stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,9,0,2,0,0,0,0,1,6,0,0,0,0
 24-34,0,0.82,1.64,0,1.64,0,0,1.64,0,0,0.82,0,0,0,0,1.64,0,0,0,55.82,0,0.82,0,0.82,0,0,0,29.55,0,0.82,0,0
 36-46,0,0,2.42,0,3.22,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,223.17,0.81,0.81,0,0,0,0,0.81,63.65,0,0,0,0
 48-58,0,0,4.02,0.57,22.38,0,0,4.02,0,0,0,0,0,0,0,2.3,0,0,1.15,458.47,0.57,1.15,0,0.57,0,0,0,88.94,0,1.15,0,0
 60-70,0,0,3.93,0,75.58,1.96,0,7.85,0,0,0,0,0,0,0.98,1.96,0,0,0.98,683.14,1.96,0.98,0,0.98,0,0,0,86.37,0,0,0,0.98
 72-82,0,0.98,2.94,0.98,140.38,0.98,0.98,21.6,0,0,0,0,0.98,0,0,11.78,0,0,0.98,908.04,0,1.96,0,0,0,0,0,78.53,0.98,1.96,0,0.98
 84-94,0,1.06,6.37,0,80.71,1.06,0,14.87,0,2.12,0,0,1.06,0,0,7.43,1.06,1.06,3.19,435.44,0,5.31,0,2.12,0,0,0,42.48,0,1.06,0,0
 96-106,0,0,6.56,0,60.11,1.09,0,13.11,1.09,0,0,1.09,0,2.19,0,5.46,0,1.09,0,367.2,0,2.19,0,2.19,1.09,0,0,15.3,0,0,1.09,1.09
108-118,0,0,3.83,0,52.09,0.77,0,7.66,0.77,0.77,0,0,0,0.77,0,2.3,0.77,0.77,0.77,386.81,0,3.83,0,1.53,0,0.77,0,16.85,0,0,0.77,2.3
120,0,0,15.68,0,68.59,0,0,11.76,1.96,0,0,0,0,1.96,0,3.92,0,0,1.96,427.23,5.88,5.88,0,5.88,0,0,0,19.6,0,1.96,0,0
