stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,5.26,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,78.67,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.73,66.09,0,0,22.03,3.15,0,0,0,3.15,0,0,0,0
 14-21,1,0,1,8,83,1,0,3,0,0,0,0,3,2,0,2,0,0,0,8,0,0,2,21,19,0,0,1,0,1,1,3,9,13,0,0,0
 24-34,0,0,0,0.82,51.71,0,0,9.85,0,9.85,0.82,3.28,0.82,0.82,0,0,0,0.82,0,7.39,1.64,0,0.82,83.73,0.82,1.64,0.82,0,0.82,0,3.28,0.82,2.46,19.7,0,3.28,0
 36-46,0,0,0,0,18.53,0,0,5.64,0,16.11,0,3.22,1.61,3.22,0,0,0,2.42,0.81,4.03,0,0,1.61,111.99,3.22,0,0,0,0,0,0,0,0.81,21.75,0,0,0
 48-58,0,0,0,0,14.35,0,0,3.44,0,6.31,0,6.31,0,1.15,0,0.57,0.57,0.57,0,6.31,0,0,2.3,80.33,1.15,0,1.72,0,0,0,0.57,0,0,8.03,0,0,0
 60-70,0,0,0,0,22.58,0,0,3.93,0,13.74,0.98,1.96,0,0,0.98,0.98,0,0.98,0.98,0,0,0.98,2.94,62.82,0.98,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,24.54,0,0,9.82,0.98,11.78,0,7.85,2.94,0,0,0.98,0,2.94,0,5.89,0,1.96,1.96,158.05,0,1.96,3.93,0,0,0,1.96,0,0,11.78,0.98,0.98,0
 84-94,0,0,0,0,31.86,0,0,12.74,0,19.12,0,3.19,5.31,0,2.12,2.12,1.06,0,0,2.12,0,2.12,5.31,46.73,0,2.12,4.25,0,0,0,1.06,0,0,5.31,0,2.12,0
 96-106,0,0,0,0,8.74,0,0,3.28,0,2.19,0,2.19,1.09,0,1.09,1.09,0,0,0,4.37,0,1.09,0,20.76,0,1.09,4.37,0,0,0,0,0,0,1.09,0,0,1.09
108-118,0,0,0.77,0,19.15,0,0,0.77,0,10.72,0,0.77,2.3,0,0,0.77,0.77,0,0,2.3,0,0,0.77,17.62,0.77,0,4.6,0,0,0,0,0,0,1.53,0,0,0
120,0,0,0,0,15.68,0,1.96,3.92,0,3.92,0,1.96,1.96,0,0,1.96,0,0,0,0,0,1.96,0,23.52,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0
