stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,28,0,0,0,2,0,0,0,1,29,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0,1.64,0,0,242.97,0.82,0,0,0,0.82,0,0,0.82,44.33,0,0,0,0
 36-46,0,2.42,0,1.61,0,0,0,0,0,0,0,0.81,10.47,0,2.42,655.81,0,0.81,0,0,2.42,0,0,0,66.06,0,0.81,0,0
 48-58,0,1.15,0,18.94,0,1.15,6.31,0,0,0,0,0,9.75,0.57,1.72,752.83,0.57,0,0,0,1.15,0,0,0,82.05,0,0.57,0,0.57
 60-70,0,1.96,0.98,17.67,0,0,3.93,0,0,0.98,0.98,0,6.87,0.98,2.94,620.32,0,0,0.98,0,2.94,0.98,0,0,75.58,0,0.98,0,0
 72-82,0.98,4.91,0.98,26.5,0,5.89,5.89,0,0,1.96,0,0,15.71,0,0,313.15,0,0,0,0,0,0.98,0,0,46.14,0.98,0.98,0.98,0
 84-94,0,3.19,1.06,18.05,1.06,2.12,6.37,1.06,2.12,1.06,0,1.06,4.25,0,0,142.31,0,0,0,0,0,0,1.06,0,14.87,0,1.06,0,0
 96-106,0,1.09,0,12.02,0,1.09,2.19,0,0,1.09,0,1.09,13.11,0,0,101.63,0,0,0,0,1.09,0,0,0,5.46,0,1.09,0,1.09
108-118,0,0.77,1.53,3.06,0,0,3.06,0.77,0,0,0,0.77,6.13,0.77,0.77,124.85,0,0.77,0,0,0,0,0,0,8.43,0.77,0,0,0
120,0,0,0,9.8,0,0,1.96,0,1.96,0,0,0,1.96,0,1.96,133.27,0,0,0,0,0,0,0,0,11.76,0,0,0,0
