stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,15.77,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,6.29,0,0,40.91,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,2,4,14,9,3,0,11,2,0,0,0,0,12,0,14,72,10,0,1,17,1,80,0,95,169,0,0,1,0,0
 24-34,0,0,0,0.82,0.82,1.64,4.1,0.82,4.1,1.64,0.82,0,0,1.64,9.85,0,8.21,36.12,1.64,0.82,0,0,0,0.82,0,14.78,87.83,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,3.22,0,0.81,0.81,0,0,0,0,2.42,0,0.81,12.89,0,0,0,0,0,0,0,0,16.11,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,5.16,0,1.15,0,0,0,0.57,0.57,0.57,0,0,4.59,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,47.11,0,1.96,0,0,0,0,0,2.94,0,1.96,4.91,0,0,0,0,0,0,0,0,0,0.98,1.96,0,0,0
 72-82,0,0,0,0,0,0.98,214,0,0,0,0,0.98,0.98,0,1.96,0.98,0,6.87,0,0,0.98,0,0,0,0,0,0.98,8.83,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,189.04,0,0,0,0,0,0,1.06,3.19,0,0,3.19,0,1.06,0,0,0,0,0,0,0,40.36,0,0,6.37,0
 96-106,0,0,0,0,1.09,0,214.2,0,0,1.09,0,0,0,0,3.28,0,0,7.65,0,0,0,0,0,0,0,0,0,83.06,1.09,0,1.09,1.09
108-118,0,0,0,0,2.3,0.77,154.72,0.77,1.53,1.53,0,0,0,0,3.06,0,1.53,5.36,0.77,0.77,0.77,0,1.53,0,0,0,0,104.17,0.77,0,0,0
120,0,0,0,0,3.92,1.96,180.3,0,5.88,1.96,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0,31.36,0,0,0,0
