stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,34.17,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,25.18,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,13,0,1,0,0,0,0,1,0,3,0,0,0,0
 24-34,0,0,0,0,0.82,0,4.93,0,1.64,0,0.82,0,0,0,2.46,0,0,1.64,32.01,0,1.64,2.46,0,0,0,0,0,7.39,0,0,0,0
 36-46,0,0,0,0,1.61,0,7.25,0,0.81,0,0,0,0,0,6.45,0,0,0,76.54,0,4.03,0,0,0.81,0,0,0,17.72,0,1.61,0,0
 48-58,0,0,0,0,0,0,12.62,0.57,3.44,0,0,0,0,0,5.74,0,0.57,1.15,62.54,0.57,1.72,0.57,0,0,0,0,0,10.9,0,0,0,0
 60-70,0,0,0,0,0,0,37.3,0,5.89,0.98,0,0,0,0,4.91,0,0,0,91.28,0,3.93,1.96,0,0,0,0,0,6.87,0.98,0,0,0
 72-82,0,0,0,0,2.94,0.98,46.14,0,4.91,0,1.96,0,0.98,0.98,13.74,0.98,0,0.98,101.11,0,0.98,0,0,0.98,0,0,0,5.89,0.98,0,0.98,0
 84-94,1.06,0,1.06,0,0,1.06,22.3,0,11.68,1.06,0,0,0,1.06,6.37,0,0,0,61.6,0,3.19,0,0,0,0,0,0,3.19,0,0,1.06,0
 96-106,0,0,0,0,6.56,0,19.67,0,4.37,1.09,0,1.09,0,1.09,7.65,0,1.09,1.09,39.34,0,3.28,2.19,0,0,0,0,0,4.37,0,0,1.09,0
108-118,0,0,0.77,0,2.3,0,16.09,0,6.89,0,0,0.77,0,1.53,6.89,0,0,0.77,44.43,0.77,1.53,0.77,0,0,0,0,0,0.77,0,0.77,0,0.77
120,0,0,0,0,5.88,1.96,9.8,0,7.84,0,0,0,0,1.96,7.84,0,1.96,0,47.03,0,0,0,0,0,0,0,0,1.96,0,0,0,0
