stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord
  3-4,1568.17,20807.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896.1,0,0,0,0
  5-6,1599.83,9359.95,36.78,0,0,0,0,0,98.07,0,0,0,557.8,49.04,0,153.24,165.5,0,0,0,0
  7-9,99.89,26.29,63.09,0,0,15.77,0,0,92,0,0,0,297.04,65.72,0,428.48,0,26.29,0,0,0
 10-12,0,9.44,6.29,0,3.15,3.15,0,0,0,0,0,0,25.18,0,0,50.35,0,3.15,0,6.29,0
 14-21,0,0,0,4,0,1,0,3,0,0,5,0,3,1,0,0,0,0,1,0,2
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0.82,4.1,0,0.82,0,0,0,0,0,3.28
 36-46,0,0,0.81,0,0,0.81,0,0,0,0,0.81,0,5.64,0,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,0.57,0,0,0,0.57,0,2.87,0,0.57,0,0,0,0,0,2.3
 60-70,0,0,0,0,0,2.94,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,2.12,1.06,0,0,0,1.06,0,2.12,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
