stage,epidermis,eye,fin_epithelia,glial,immune,lateral_line,mesenchyme,neural,notochord,otic,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,6,0,0,0,3,1,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0,0,2.46,0.82,0
 36-46,0,0.81,0,0,0,0,0,5.64,0,0,0,0,1.61,0,0
 48-58,0,0.57,0,0,0,0.57,0.57,5.16,0,0.57,0,0,0,0,0
 60-70,0,2.94,0,0,1.96,0,0,4.91,0,0,0,0,0.98,0,0
 72-82,0,2.94,0,1.96,17.67,0,0,5.89,0,0,0,0,0,0,0.98
 84-94,0,1.06,0,1.06,11.68,0,0,4.25,0,1.06,1.06,0,0,0,0
 96-106,1.09,8.74,1.09,0,37.16,0,1.09,5.46,0,1.09,0,0,0,1.09,0
108-118,0,8.43,0,1.53,35.23,0,0,6.13,0,0,0,0,0,0.77,0
120,1.96,3.92,0,0,39.2,0,1.96,3.92,0,0,0,0,0,0,0
