stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,24,0,0,1,0,0,0,0,2,0,0,6,35,0,0,0,0,1
 24-34,0,0,0,29.55,0.82,0.82,0,8.21,0,10.67,0,0,0.82,0,0,0,0,0,0.82,30.37,0,0,36.12,77.16,3.28,0,8.21,0,0,0,0,0,0.82,0,7.39,66.49,0,0,0.82,0,4.1
 36-46,0,0,0,6.45,0,4.03,0,0.81,7.25,8.86,0,0,0,0.81,0,0,0,0,0.81,53.17,0,0,27.39,88.62,4.03,0.81,0.81,0,0,0.81,0,0,0,0,1.61,37.87,0,0,0,0,7.25
 48-58,0,0,0,6.89,0,15.49,1.15,4.02,5.16,14.35,0,0.57,0.57,0.57,0.57,1.15,2.3,0,4.02,94.1,0,2.3,20.08,70,0.57,0,0,0,0,0,0,0,0,2.3,0,20.08,0,0,0,0,9.75
 60-70,0,0,0,5.89,0,14.72,0.98,4.91,1.96,8.83,0,0,0,0,0,0,5.89,0,1.96,147.23,0,5.89,8.83,122.69,2.94,0,0.98,0,0,0.98,0,0,0,0.98,0,7.85,0,0.98,0.98,2.94,9.82
 72-82,0,0,0,15.71,0.98,39.27,0.98,1.96,3.93,21.6,0,0,0,1.96,0.98,0,1.96,0,0,289.59,0,7.85,21.6,167.86,0.98,0.98,0.98,0,0.98,5.89,0,0,0,1.96,0,4.91,0,8.83,0.98,5.89,10.8
 84-94,0,0,0,11.68,1.06,26.55,1.06,4.25,2.12,14.87,1.06,0,0,2.12,0,1.06,0,0,3.19,186.92,1.06,5.31,14.87,94.52,2.12,1.06,0,0,0,22.3,0,0,0,0,0,3.19,0,12.74,2.12,6.37,4.25
 96-106,0,0,1.09,20.76,2.19,14.21,0,4.37,0,12.02,0,0,0,1.09,3.28,1.09,2.19,1.09,1.09,196.71,0,3.28,8.74,78.68,0,2.19,3.28,0,0,21.86,1.09,0,1.09,1.09,0,2.19,0,5.46,2.19,18.58,0
108-118,0,0,0,23.74,0,17.62,0,7.66,0,17.62,0.77,0,0,1.53,1.53,0,0.77,0,3.83,188.43,0,2.3,9.96,80.43,0,0.77,0.77,0,0,13.79,0,0,0,2.3,0,5.36,1.53,5.36,0,11.49,3.06
120,0,0,1.96,39.2,0,11.76,0,15.68,0,15.68,0,0,0,1.96,3.92,0,1.96,0,1.96,135.23,1.96,1.96,17.64,107.79,0,0,5.88,0,0,17.64,0,0,0,3.92,0,5.88,0,0,1.96,19.6,1.96
