stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,29,0,0,0,0,0,6.45,0,0,0,0,0
 48-58,0,0.57,0,5.74,0.57,0,0,1.72,0,0.57,0,0,0,0,2.87,0,0,0,86.07,0,0,0,0.57,0.57,24.1,0,0,0,0,0
 60-70,0,0,0,14.72,0,0,0,4.91,0,0,0,0,0.98,0,0.98,0,0,0,204.16,0,0,0,0,0,53,0,0,0,0,0
 72-82,0,3.93,1.96,48.1,0,0,0.98,9.82,0,0,0,0,0.98,0,19.63,0,0,0.98,441.75,0,0,0,0,0,78.53,0,1.96,0,0,1.96
 84-94,1.06,2.12,2.12,29.74,0,0,1.06,8.5,1.06,0,1.06,0,0,0,5.31,0,0,1.06,302.68,1.06,0,0,2.12,0,38.23,1.06,0,0,0,0
 96-106,0,4.37,1.09,49.18,1.09,1.09,0,9.84,1.09,0,0,1.09,0,1.09,5.46,1.09,0,1.09,325.67,0,0,0,4.37,0,28.41,0,1.09,2.19,1.09,0
108-118,0,3.83,1.53,27.57,0,0,0.77,6.89,0,0,0,0,0,0.77,4.6,0,0.77,0,432.77,0,0,1.53,0.77,0,19.92,0.77,0,0.77,0,0
120,0,3.92,0,17.64,0,1.96,0,7.84,0,0,0,0,0,0,5.88,0,0,0,484.07,0,1.96,0,0,0,37.24,0,0,0,0,0
