stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,4322.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,484.24,1213.67,6.13,0,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0,0,0,0,122.59,0,0,0,12.26,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,276.01,155.09,157.72,0,2.63,1713.92,0,0,0,0,0,764.96,0,0,0,0,0,0,0,0,0,0,0,4868.38,23.66,0,0,162.98,0,13.14,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,78.67,141.61,0,18.88,991.3,0,0,0,0,0,273.79,0,0,0,0,0,3.15,0,0,0,0,0,3829.86,37.76,0,0,100.7,0,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,272,10,211,0,0,0,1,0,3,0,0,0,0,0,0,0,14,1,0,3,1848,3,9,7,0,0,7,0,3,0,1,4,227,0,0,0,0,0
 24-34,0,0,0,135.44,0,160.07,0,0,0,9.03,0,0.82,0,0,1.64,0.82,0,0,0,9.03,0.82,0,9.03,1513.66,0.82,37.76,28.73,0,0,56.64,0,0,0,0,0,206.03,0,0,4.1,0,0.82
 36-46,0,0,0,29,0.81,95.07,0,0,0,60.43,0,0.81,0,0,0,0,1.61,0,1.61,7.25,0,0,0.81,1194.81,0,13.7,21.75,0,0,28.2,0,0,0,0,0,120.04,0,0,1.61,0,0
 48-58,0,0,0,20.08,0.57,111.32,0.57,0.57,0.57,98.12,0,2.3,0.57,0,1.15,1.15,2.3,0,0.57,14.35,0,0,1.72,1012.19,0.57,12.05,21.8,0,0.57,9.18,0,0,0.57,0,0,72.3,0,0,0,0,2.3
 60-70,0,0,0,21.59,0,79.5,0,1.96,0,82.45,0,0,0,0,0.98,0,0.98,0,0,20.61,0,0,0,890.24,0,12.76,15.7,0,0,6.87,0,0,0,0,0,33.37,0,0,0,0.98,4.91
 72-82,0,0,0,17.67,0.98,145.29,0.98,0.98,0,112.89,0,0.98,0,0,2.94,0,0.98,0,0,26.5,0,0,2.94,897.24,0,15.71,35.34,0,0,9.82,0,0,0,0,0,22.58,0,0,2.94,1.96,1.96
 84-94,0,0,0,45.67,1.06,169.93,0,1.06,1.06,76.47,1.06,3.19,1.06,1.06,2.12,1.06,2.12,0,0,13.81,0,1.06,2.12,491.72,0,29.74,27.61,0,0,18.05,0,0,0,0,0,21.24,0,0,3.19,1.06,0
 96-106,0,0,0,39.34,3.28,110.38,0,0,2.19,78.68,2.19,0,0,1.09,1.09,3.28,0,0,0,18.58,1.09,1.09,3.28,371.57,0,33.88,33.88,0,1.09,29.51,0,0,1.09,0,0,9.84,0,1.09,1.09,0,0
108-118,0,0,0,27.57,1.53,85.79,0,2.3,0.77,63.57,0,0,0,0.77,3.83,0.77,0,0,1.53,9.96,2.3,0.77,0.77,498.64,0.77,19.92,29.87,0,0.77,12.26,0,0,0.77,0,0,5.36,1.53,0,1.53,0,0
120,0,0,0,37.24,0,74.47,0,1.96,1.96,72.51,1.96,0,0,1.96,0,0,3.92,0,1.96,17.64,0,1.96,1.96,511.5,1.96,19.6,47.03,0,0,47.03,0,0,0,0,0,5.88,0,0,0,0,1.96
