stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,0,5.26,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,0,6.29,0,0,0,0,0,0
 14-21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,0,1,4,0,3,6,0
 24-34,0.82,1.64,4.1,0.82,0,1.64,0,0.82,0,0,0,0,0,5.75,0,0.82,13.13,45.97,0,0.82,0,0.82,0.82,3.28,0.82
 36-46,0,0,0.81,0,0,4.83,0,0,0,0.81,0,0,0,4.03,0,1.61,19.34,41.09,0,0.81,0,0,0,4.03,0
 48-58,0,0,0,0,0,2.3,0.57,0,0,2.87,0,0,0,5.74,0,0,5.16,18.94,0,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,0.98,0.98,0,13.74,0,0,0,9.82,0,0.98,3.93,30.43,0,0.98,0,0,0,2.94,0
 72-82,0,0,0,0,0,4.91,0,0,0,14.72,0,0,0,56.94,0.98,0,7.85,46.14,0,0,0,0,0,3.93,0
 84-94,0,0,0,0,0,5.31,1.06,2.12,0,25.49,0,0,0,44.61,0,0,3.19,65.85,0,1.06,0,0,0,0,0
 96-106,0,0,0,3.28,0,2.19,1.09,1.09,0,22.95,0,0,2.19,27.32,0,1.09,4.37,36.06,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,2.3,0,21.45,1.53,0.77,0,22.98,0,1.53,9.19,65.11,0,1.53,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,0,23.52,0,0,0,15.68,0,1.96,5.88,66.63,0,0,0,0,0,0,0
