stage,endocrine_pancreas,epidermis,eye,glial,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord
 14-21,0,0,0,0,0,0,1,1,2,0,0,0,1
 24-34,0,0,0.82,0,0,0,0,0,4.93,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,3.22,0,0,0,1.61
 48-58,0,0,1.72,0,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,2.94,0,0,0,1.96,0,0.98,0,0,0,0.98
 72-82,0,0,0,0.98,0,0.98,1.96,0,2.94,0,0,0,0
 84-94,0,0,1.06,0,0,0,1.06,0,2.12,1.06,0,0,0
 96-106,1.09,1.09,1.09,2.19,0,0,0,0,2.19,0,0,1.09,0
108-118,0,0.77,0,0.77,0.77,0.77,0,0,1.53,0,0.77,0,0
120,0,0,3.92,0,0,0,1.96,0,1.96,0,0,0,0
