stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,5,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,9.85,0,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,0,0.81,4.83,0,0,0,23.36,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0.57,0,4.02,0.57,0,0,6.31,0,0,0,0,0
 60-70,0,1.96,0,0,0,0,0,0,0,0,0.98,0,2.94,0,0,0,10.8,0,0,0,0,0
 72-82,0,0.98,0,1.96,0,0,0,0,0,0.98,0,0.98,2.94,0,0,0,7.85,0,0,0,0,0
 84-94,0,3.19,0,1.06,0,0,0,0,0,1.06,0,0,2.12,1.06,0,0,48.85,0,1.06,0,0,0
 96-106,0,7.65,0,1.09,1.09,1.09,0,0,1.09,0,0,0,1.09,1.09,0,0,21.86,0,0,1.09,1.09,0
108-118,0,5.36,0.77,1.53,0,0.77,0.77,0,0,0,0,0.77,0.77,0,1.53,0,14.55,0,0,0,0,0.77
120,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,9.8,0,0,0,0,0
