stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,131.78,1726.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,61.3,888.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,86.75,0,0,0,21.03,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,132.17,0,0,0,0,0,0,0,0,28.32,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8,0,51,1,0,2,0,0,0,0,0,54,0,0,0,0,0,3,0,3,36,169,0,0,0,0,2,1,0,1,1,30,0,0,0,0
 24-34,0,0,3.28,0,48.43,0,0,3.28,0,0,0,2.46,0,6.57,0,0,0.82,0,0,6.57,0,4.93,111.64,160.89,1.64,0.82,0,0,4.1,0,0,0,0.82,55,0,0,1.64,0
 36-46,0,0,4.03,0,22.56,0,0,5.64,0.81,0,0,1.61,0,1.61,0,0,0,0.81,0.81,10.47,0,1.61,125.68,136.96,0.81,0.81,0,0,2.42,0,0,0,0,78.96,0,0,1.61,0
 48-58,0,0,3.44,0,6.31,0,0,13.2,0,0,0,1.72,0,1.72,0,0,0,0,0.57,12.62,0,1.72,111.32,50.49,0.57,1.15,0,0,1.72,0,0.57,0,0,47.63,0,0,0.57,0
 60-70,0,0,1.96,0,3.93,0,0,27.48,0,0.98,0.98,2.94,0,0,0,0,0,0,0,4.91,0,1.96,124.65,24.54,0.98,0.98,0,0.98,0.98,0,0,0,0,50.06,0,0,0,0
 72-82,0,0,9.82,0,1.96,1.96,0,75.59,0,0,0,7.85,0,0.98,0,0,0,0,0,10.8,0,2.94,160.99,7.85,0.98,0,0,0,0,0,0,0,0,32.39,0,0.98,0.98,0
 84-94,0,0,4.25,0,1.06,0,0,55.23,1.06,2.12,0,8.5,0,3.19,0,1.06,0,0,0,5.31,1.06,0,84.96,8.5,1.06,1.06,0,0,0,0,0,1.06,0,14.87,0,0,1.06,0
 96-106,0,0,6.56,0,5.46,1.09,0,56.83,0,1.09,0,4.37,1.09,1.09,1.09,1.09,0,1.09,0,6.56,0,1.09,88.52,3.28,1.09,1.09,0,0,1.09,0,0,0,0,8.74,0,3.28,1.09,2.19
108-118,0,0,5.36,0,1.53,0,1.53,44.43,0,0.77,0,3.06,1.53,0,0,0.77,0,0,0,5.36,0,0,98.81,2.3,0,0,0,0.77,1.53,0,0,0,0,9.19,0.77,1.53,0,0
120,0,0,7.84,0,1.96,0,1.96,27.44,0,1.96,0,3.92,0,0,0,1.96,0,0,0,5.88,0,0,150.9,0,0,0,0,0,3.92,0,0,0,0,9.8,0,3.92,0,0
