stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,52.57,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,88.12,0,0,0,0,0,0,0,0,0,44.06,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,6,0,7,0,0,1,6,0,0,0,0,0,0,0,4,0,0,58,3,1,1,34,0,0,28,4,0,7,21,0,0,0,0,0
 24-34,4.1,0,8.21,0,1.64,1.64,4.1,0,0,0,0,0,2.46,0,3.28,0,0,93.58,0.82,0,0,0,0,0.82,0,1.64,0,19.7,16.42,0,0,0,0,0
 36-46,5.64,0,109.57,0,0.81,31.42,0,0,0,0,0,0,0,0.81,37.06,0,4.03,286.01,0.81,0,0,0,0,0.81,0,0,0,0,18.53,0,0,0.81,0,0.81
 48-58,10.33,0,300.1,0,2.87,64.84,0.57,0,0.57,0,0.57,0,1.15,0,45.9,0.57,2.3,265.1,0,1.15,1.15,0,0,0.57,0,0,0,0,22.38,0,0.57,1.15,0.57,0
 60-70,4.91,0,423.04,0,0.98,56.93,0,0,0,0,0,1.96,0,0,78.52,2.94,2.94,169.8,0,0,0.98,0,0,0,0,0,0.98,0,11.78,0,2.94,0,0,0
 72-82,1.96,0,128.6,0,2.94,23.56,0,0,0,0,0,5.89,0,0,56.94,1.96,6.87,84.42,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,2.94,1.96,1.96,0
 84-94,4.25,1.06,140.19,0,2.12,23.36,0,0,0,1.06,0,10.62,1.06,0,58.41,4.25,3.19,54.16,0,0,0,0,1.06,0,0,0,0,0,4.25,3.19,3.19,0,9.56,1.06
 96-106,3.28,1.09,65.57,1.09,1.09,12.02,0,0,0,0,0,14.21,4.37,0,32.79,0,3.28,61.2,0,0,1.09,0,0,1.09,0,0,0,0,2.19,0,2.19,1.09,4.37,0
108-118,4.6,0,52.09,0,0,8.43,0,0,0,0,0,26.04,2.3,0,18.38,0,0.77,52.09,0,0,2.3,0,0,0,0,0.77,0,0,0,1.53,2.3,0.77,1.53,0
120,0,0,37.24,0,0,5.88,0,0,0,0,0,15.68,0,0,9.8,0,3.92,33.32,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0
