stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,14,0,0,0,0
 24-34,0,0.82,1.64,0,0,0,0,0,0,1.64,0,0,0,0,0,0,1.64,0,0,154.32,7.39,0,0,27.09,0,0,0,0.82
 36-46,0,0,0,0,0,10.47,0.81,0,0,0,0,0,0,0,0,3.22,3.22,0,0,456.81,8.86,0,1.61,79.76,0,0.81,0,2.42
 48-58,0,0,0,0,0,35,0,0,0,2.3,0,0,0,0,0,3.44,3.44,0.57,1.72,464.78,2.87,0,0,91.23,0,0.57,0,0.57
 60-70,0,0,0.98,0,0,116.8,0,0,0,3.93,0,0.98,0,1.96,0,0.98,0.98,0,0,839.2,2.94,0,0,99.13,0,0,0,0.98
 72-82,0,4.91,2.94,0.98,0,158.05,0,0,0.98,16.69,0,0.98,0,0,0,2.94,16.69,0,0,605.69,6.87,0.98,0.98,53.01,0.98,0.98,0,2.94
 84-94,0,4.25,3.19,0,0,84.96,0,0,0,13.81,1.06,0,1.06,7.43,0,4.25,6.37,0,0,319.67,3.19,2.12,2.12,18.05,0,0,1.06,0
 96-106,0,2.19,2.19,1.09,0,81.96,0,0,1.09,5.46,0,0,0,3.28,1.09,0,4.37,0,0,243.7,4.37,1.09,1.09,8.74,0,0,0,0
108-118,0,0,2.3,0.77,0,56.68,0,0.77,0,8.43,1.53,0,0.77,9.96,0,2.3,5.36,0,0,232.09,3.06,1.53,2.3,6.89,0,0,0.77,0
120,0,0,1.96,0,1.96,41.16,0,0,0,3.92,0,0,1.96,9.8,0,1.96,3.92,0,0,244.97,11.76,0,1.96,7.84,0,0,0,0
