stage,axial,blastomeres,erythrocytes,eye,immune,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,10.51,2.63,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,1
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0.82,0.82
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0.57,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,1.96,0,1.96,0,0,0,0,0,0,0
