stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,159.37,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,22,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,8.21,0,0,0,0.82,39.4,0,1.64,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0,7.25,0,0.81,0,0,29.81,0,2.42,0,0,0
 48-58,0,0,0,0,2.87,0,0,0.57,0,0,0,0,2.3,0,0,0,0,18.94,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0,11.78,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0.98,0,0,0,0.98,2.94,0,0.98,0,0,5.89,0,0.98,0,0,0
 84-94,0,0,0,0,3.19,2.12,0,0,0,2.12,1.06,0,4.25,0,0,0,0,12.74,0,0,0,0,0
 96-106,0,0,0,1.09,5.46,2.19,0,2.19,0,1.09,0,3.28,2.19,1.09,0,1.09,2.19,25.14,0,0,0,1.09,0
108-118,0,0,0.77,0,2.3,0.77,0.77,2.3,0,0.77,0,2.3,6.13,0,0,0,0,22.98,0,0,0.77,0.77,0.77
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,1.96,7.84,0,0,0,0,0
