stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,1,1,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0,1.64,0,0.82,21.34,0,0.82,0,0,0,0,7.39,0.82,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,20.14,0,0,0,0.81,0,1.61,4.83,0,0
 48-58,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,14.35,0,0,0,0,0,3.44,4.02,0,0
 60-70,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0,0,15.7,0,0,0,0,0,6.87,3.93,0,0
 72-82,0,0.98,0,8.83,0,0,0.98,0,0,0,0,1.96,0,0,12.76,0,0,0,0,0,20.61,0,0,0.98
 84-94,0,1.06,0,4.25,1.06,0,3.19,0,0,1.06,0,3.19,0,0,6.37,0,0,0,0,0,52.04,1.06,0,0
 96-106,2.19,1.09,1.09,4.37,2.19,0,1.09,1.09,1.09,0,1.09,3.28,2.19,0,13.11,1.09,0,0,2.19,0,69.94,0,1.09,1.09
108-118,0.77,0.77,0,6.13,0.77,1.53,0,0,0.77,0,0,6.89,0,0.77,9.96,0,1.53,0,0.77,0,68.17,0.77,0,0
120,0,0,0,3.92,0,0,0,0,0,0,0,5.88,0,0,11.76,0,0,0,0,0,17.64,0,0,0
