stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,3,13,3,0,0,0,0
 24-34,2.46,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0.82,34.48,0,2.46,0,0,7.39,8.21,0,0,0,0
 36-46,0,0,1.61,0,1.61,0,0,0,0,0,0,5.64,0.81,3.22,61.23,0.81,0.81,0,0,0,7.25,0,0,0,0
 48-58,1.15,0,2.87,1.15,6.89,0,0,0,0,0,0,10.9,0,1.72,36.15,0.57,0.57,0.57,0,0,4.02,0,0.57,0,0
 60-70,0.98,0,16.69,0,0.98,0.98,0.98,0.98,0,0,0,24.54,0,0.98,29.45,0,0.98,0,0,0,2.94,0,0,0.98,0
 72-82,0.98,0,37.3,0,4.91,0,0,0,0.98,0.98,0,16.69,0.98,0.98,34.36,0,1.96,0,0,0,0,1.96,0.98,0.98,0
 84-94,0,3.19,33.99,0,6.37,1.06,0,0,0,3.19,0,7.43,0,0,16.99,1.06,3.19,1.06,0,0,2.12,0,1.06,0,0
 96-106,1.09,1.09,30.6,1.09,16.39,0,0,1.09,0,3.28,0,15.3,0,2.19,32.79,0,2.19,2.19,0,0,0,0,0,1.09,0
108-118,2.3,0,36.77,0,23.74,0,1.53,0,0,2.3,0.77,6.13,0,0.77,27.57,0.77,0,0,0,0,0,0,0.77,0,0
120,0,0,31.36,0,35.28,0,0,0,0,0,0,1.96,0,0,31.36,0,3.92,0,0,0,0,0,0,0,1.96
