stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,10.51,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,78.67,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,101,11,0,1,0,0,0,0,4,2,0,0,0,0,0,14,0,1,52,0,0,1,12,0,0,40,0,1,6,83,0,0,1,0,0
 24-34,0,0,0,6.57,0,0,4.1,0,0,0.82,0,0.82,0.82,0,0,0,0,0,6.57,0,3.28,159.25,0.82,1.64,1.64,0,0.82,1.64,0,0,0.82,1.64,126.41,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,8.86,0.81,0,0.81,0,0.81,0,0,0,0,0,0,6.45,0,0.81,323.07,0,0.81,0,0,0,4.83,0,0,0,0,120.85,0,0,0,0,0
 48-58,0,0,0.57,3.44,0,0,66.56,0,1.15,6.31,0,0,1.15,0,0,0,0,0,10.9,0,0.57,476.83,0,0,0.57,0,0.57,1.72,0,0,0,0,133.7,0,0,1.72,0,2.3
 60-70,0,0,0,3.93,0,0,264.03,0.98,0.98,3.93,0.98,0,0.98,0.98,0,0,0,0.98,19.63,0.98,0,705.71,0,1.96,0,0,0,3.93,0,0,0,0,120.73,0,2.94,0,0,0
 72-82,0,0,0.98,12.76,1.96,0,509.48,0.98,1.96,25.52,1.96,0,0.98,0,0.98,0,0.98,0.98,34.36,0,0.98,768.64,0.98,0,0,0,0,2.94,0,0,0,0,86.39,0,4.91,1.96,0.98,0
 84-94,0,0,1.06,18.05,4.25,0,348.35,1.06,0,15.93,1.06,0,3.19,0,0,0,1.06,0,26.55,2.12,1.06,470.48,0,1.06,0,0,1.06,13.81,0,1.06,0,0,45.67,0,19.12,0,3.19,0
 96-106,0,0,0,6.56,1.09,1.09,354.08,0,0,25.14,2.19,0,2.19,0,2.19,0,2.19,0,22.95,0,2.19,434.95,0,1.09,2.19,0,1.09,10.93,0,0,0,0,19.67,0,5.46,0,3.28,1.09
108-118,0,0,1.53,11.49,0.77,0,340.09,0.77,0,24.51,0,0.77,3.06,0,0.77,0.77,0,0.77,19.92,0.77,0.77,601.28,0,3.06,0,0,0.77,6.13,0,0,0,0,18.38,0.77,1.53,0.77,3.06,0.77
120,0,0,0,13.72,0,0,262.61,1.96,0,15.68,3.92,0,3.92,0,3.92,0,0,0,21.56,0,3.92,636.93,0,5.88,3.92,0,0,13.72,0,0,0,0,29.4,0,0,0,1.96,0
