stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0
 14-21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,0.82,0.82,0,0,0,0.82,0.82
 36-46,1.61,0.81,0,0.81,0,0,0,0,0,0,0.81,0,0,0.81,2.42,0,0,0,0.81,1.61,0
 48-58,0,0,0,1.15,0.57,0,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0.57,0
 60-70,0.98,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0
 84-94,5.31,1.06,0,0,0,2.12,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,5.46,0,0,0,0,4.37,0,1.09,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0
108-118,7.66,0,1.53,0.77,0,1.53,0.77,0,1.53,0,0.77,0,0,0,0,0,0,0,0,0,0
120,7.84,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
