stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,3,0,0,0,0,0,0,1,0,1,17,0,0,0,3,0,0,0,0,0
 24-34,0,0.82,0,3.28,0,0,0.82,0,0,0,2.46,0,3.28,21.34,0,14.78,0,0.82,9.85,0,0,0,0
 36-46,0,0,0.81,1.61,0,0,0.81,0,0,0,0.81,0,0,8.06,0,19.34,0.81,0,3.22,0,0,0,0
 48-58,0,0,0,7.46,0.57,0,0,2.87,0,0,2.87,0,1.15,8.61,0.57,16.07,0,0,4.02,0,0,0,0
 60-70,0,0,0,13.74,0,0,0.98,0,0,0,0.98,0,0,0.98,0,12.76,0,0,0,0,0,0,0
 72-82,0,0,0.98,17.67,0,0.98,0,10.8,0,0,5.89,0.98,0,6.87,0,26.5,0.98,0,0,0.98,0.98,0,0
 84-94,0,0,0,9.56,0,0,0,2.12,0,0,3.19,0,0,3.19,0,30.8,0,0,0,0,0,0,0
 96-106,0,0,1.09,4.37,0,0,0,0,0,0,2.19,1.09,1.09,2.19,1.09,37.16,0,0,0,0,0,2.19,0
108-118,0,1.53,0.77,1.53,0,0,0,1.53,0.77,0.77,1.53,0,0.77,5.36,0,29.87,0,0,0,0,0,0,0.77
120,1.96,1.96,3.92,5.88,0,0,0,0,1.96,0,1.96,0,1.96,5.88,0,23.52,0,0,0,0,0,0,0
