stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,1.64,0,69.77,1.64,0,0,0,22.98,0,0.82,0,0
 36-46,0,0,0,0,0,13.7,0,0,0,2.42,0,0,1.61,0,215.11,0.81,0,0,0,35.45,0,0,0,0
 48-58,0,0,1.15,0,0,55.66,0,0,0,5.74,0,0,0.57,0.57,206.57,0,0,0,0,35,0,0,0,0
 60-70,0,0,0,0,0,244.4,0,0,0,13.74,1.96,0,2.94,0.98,360.22,0,0,0,0.98,39.26,0,0,0,0
 72-82,0,0.98,1.96,0,0,146.27,0,0,0.98,7.85,0,0,3.93,0,237.56,0.98,0,0,0,22.58,0,0,0,0
 84-94,0,0,2.12,1.06,0,106.2,0,1.06,1.06,8.5,1.06,0,5.31,0,126.38,0,0,0,1.06,12.74,0,0,0,1.06
 96-106,0,0,0,0,0,56.83,0,0,0,9.84,0,0,5.46,0,108.19,1.09,0,0,0,5.46,1.09,1.09,1.09,0
108-118,0,0,3.06,0,0,42.89,0.77,0,0,1.53,0,0.77,3.06,0,87.32,0,0.77,0,0,4.6,0,0,0,0
120,0,0,0,0,1.96,35.28,0,0,0,0,0,0,1.96,0,92.11,0,0,0,0,1.96,0,0,0,0
