stage,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,mesenchyme,neural,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,22.03,0,0,0,0,0
 14-21,0,3,0,0,0,3,0,0,3,19,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,2.46,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,2.42,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,1.15,0.57,0,0,0,0.57
 60-70,0,0,0.98,0,0,0,0,1.96,0,0.98,0,0,0.98,0
 72-82,0,0,0.98,0,0.98,0,0,0,3.93,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,1.09,0,0,0,1.09
108-118,0,0.77,0,0,0,0,0.77,0.77,0.77,0,0,0,0,0
120,0,1.96,3.92,0,0,0,0,0,0,1.96,0,0,0,0
