stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,17.24,0,2.46,0,8.21,3.28,0,15.6,2.46,0,0.82,0,2.46,0,0.82
 36-46,0,0,0,10.47,0.81,0,0,0.81,0,0,0.81,0,35.45,0,1.61,1.61,5.64,8.86,0,9.67,3.22,0,0,0,2.42,0,0
 48-58,0,0,0,6.31,0,0,0,0,0,0.57,0,0,20.08,0,3.44,0,0,5.16,0,9.18,3.44,1.15,0,0,1.72,0,0
 60-70,0,0,0,8.83,0.98,0.98,0,0.98,0,0,2.94,0,24.54,0,9.82,0,0.98,8.83,0,9.82,2.94,0.98,0,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,0,4.91,0,27.49,0,13.74,0.98,0,3.93,0,4.91,1.96,0.98,0,0,0,0,0.98
 84-94,0,0,0,13.81,1.06,0,4.25,1.06,0,0,3.19,0,24.43,0,5.31,0,2.12,4.25,0,11.68,1.06,0,0,0,0,0,0
 96-106,0,0,0,4.37,5.46,0,0,0,1.09,0,1.09,0,27.32,0,6.56,0,0,3.28,0,15.3,1.09,0,0,0,0,0,1.09
108-118,0,0,0,6.89,1.53,0,2.3,0.77,0,0,2.3,1.53,26.81,0,10.72,0,0,8.43,0,14.55,2.3,0.77,0,0.77,0,0.77,0
120,0,0,0,11.76,0,0,0,1.96,1.96,0,3.92,3.92,13.72,1.96,5.88,0,0,3.92,0,7.84,1.96,0,0,0,0,0,0
