stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,28.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,9,1,0,0,0,0,5,2,3,5,0,0,1,0,0
 24-34,0,0.82,3.28,0,0,0.82,0,0,0.82,0,0,0,0,0,1.64,0,0.82,0.82,13.95,0,0,0,0,0.82,0.82,0.82,0.82,2.46,0,0,0,0,0.82
 36-46,0,0,1.61,0,0,3.22,0,0,0,0,0,0,0,0.81,3.22,0,0,0,12.09,0,0,0.81,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,1.15,0,0,5.74,0,0.57,1.72,0,0,0.57,0,2.87,1.15,0,0,1.72,9.75,0,0,0,0,1.15,0,0,0,4.59,0,0,1.15,0,0
 60-70,0,0,1.96,0,0,2.94,0,0.98,0.98,0,0,0.98,0.98,0.98,7.85,0,0,1.96,12.76,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,4.91,0,0,2.94,0.98,0,0,0,0,18.65,0,0,0,9.82,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,12.74,0,0,5.31,2.12,0,2.12,0,0,1.06,0,0,7.43,0,0,4.25,7.43,1.06,0,1.06,0,5.31,0,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,8.74,1.09,0,3.28,2.19,0,1.09,3.28,1.09,0,1.09,1.09,14.21,1.09,1.09,0,14.21,0,1.09,4.37,0,3.28,0,0,0,0,0,1.09,1.09,0,0
108-118,0,0,9.19,0,0.77,3.06,1.53,0,0.77,1.53,0.77,1.53,2.3,1.53,10.72,0,0,3.06,10.72,1.53,0.77,1.53,0,7.66,0,0,0,0,0.77,0.77,2.3,1.53,0.77
120,0,0,13.72,0,0,0,0,0,0,1.96,1.96,1.96,0,0,11.76,0,0,1.96,7.84,1.96,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0
