stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,11,1,0,0,1,0,0,0,2,0,109,6,9,0,0,0,0,0
 24-34,0,0,0.82,5.75,0,6.57,0,1.64,2.46,0,0,0.82,0,0,0,0,0,0,6.57,0,0,1.64,22.98,1.64,0.82,0.82,0,0,1.64,0,0,0,76.34,0.82,17.24,0,0,2.46,0,0
 36-46,0,0,0,0.81,0,0.81,0,1.61,0.81,0,0,0.81,0,0,0,0,0.81,0,10.47,0.81,0,5.64,38.67,0,0.81,2.42,0,0.81,2.42,0.81,0,0,38.67,0,19.34,0,0,0.81,0,0.81
 48-58,0,0,0,1.15,0,6.31,0,0,4.02,0,0,0.57,0,0.57,0,0.57,0,0,18.94,0,0,2.3,25.25,0,0,0,0,0,2.3,0,0,0,5.74,0,11.48,0,0,1.15,0,2.3
 60-70,0,0,0,2.94,0,0.98,0,0,2.94,0,0,0,0,0,0,0,0.98,0,31.41,0,0.98,0.98,24.54,0,0,0.98,0,0.98,4.91,0,0,0,0,0,4.91,0,0.98,0.98,0,0
 72-82,0,0.98,0,3.93,0.98,21.6,0,6.87,15.71,6.87,0,0,0.98,0.98,0,2.94,3.93,1.96,74.61,0,3.93,6.87,95.22,0.98,1.96,5.89,0,0.98,2.94,0,0,1.96,0,0,9.82,0,0.98,2.94,2.94,1.96
 84-94,0,0,0,6.37,0,30.8,3.19,0,10.62,6.37,1.06,0,0,0,0,0,8.5,0,37.17,0,3.19,4.25,50.98,0,1.06,1.06,0,0,19.12,0,0,2.12,1.06,0,5.31,0,2.12,1.06,0,1.06
 96-106,0,1.09,0,6.56,1.09,26.23,2.19,2.19,14.21,10.93,0,1.09,1.09,1.09,0,3.28,12.02,1.09,44.81,0,2.19,1.09,51.36,1.09,3.28,8.74,0,0,26.23,0,0,1.09,0,0,2.19,1.09,1.09,5.46,2.19,0
108-118,0,0,0.77,4.6,0.77,30.64,2.3,0.77,10.72,9.96,0,0.77,1.53,3.06,1.53,0.77,17.62,1.53,48.26,0,0.77,2.3,62.04,0,3.06,7.66,0,2.3,10.72,0,0,3.06,0.77,0,3.83,0.77,0.77,3.83,2.3,0.77
120,0,0,1.96,3.92,0,17.64,0,1.96,11.76,17.64,0,0,0,1.96,0,3.92,11.76,0,33.32,3.92,0,3.92,74.47,0,1.96,9.8,0,0,17.64,0,0,1.96,0,0,3.92,0,0,0,1.96,0
