stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,135.32,6.29,0,0,50.35,0,0,9.44,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,8,0,1,0,0,1,1,0,0,0,0,0,0,0,7,0,0,5,34,0,0,0,1,0,0,1,6,0,2,9,0,0,0,0
 24-34,0,0,0.82,0,0,1.64,0,7.39,0,0.82,0,1.64,0,0,1.64,0,0,0,0,0,0.82,10.67,0,0,4.93,109.17,0.82,2.46,0.82,0,0,0.82,0,0,0,0,37.76,0,0.82,0,0.82
 36-46,0,0,0.81,0,0,0,0,6.45,0,0,0.81,6.45,0,0,0,0,0,0,0,0,0,9.67,0,0,0.81,135.35,0.81,4.03,0,0,0,0,0,0,0.81,0,37.06,0,0.81,0,0
 48-58,0,0,0,0,0.57,0.57,0,27.54,0,0,0.57,12.62,0,0,0.57,0,0,0.57,0,1.15,1.15,13.2,0,0,2.3,166.98,0.57,1.72,2.3,0,0,0.57,0,0,0,0,39.02,0,1.15,0,1.72
 60-70,0,0,0,0,0,0.98,0,52.02,0,0.98,0.98,22.58,0,0,0.98,0,0,0.98,0,0,0.98,23.56,0,0,1.96,220.84,0.98,0,0.98,0,0.98,0,0,0,0,0,35.33,0,0.98,0.98,0.98
 72-82,0,0,0,0,3.93,3.93,0,101.11,0.98,1.96,4.91,15.71,0,0,1.96,0.98,0.98,0.98,2.94,1.96,1.96,49.08,0.98,0.98,1.96,270.94,1.96,1.96,2.94,0,0,0.98,0,0,0,0,30.43,1.96,2.94,2.94,1.96
 84-94,0,0,1.06,0,4.25,5.31,0,63.72,1.06,0,3.19,22.3,1.06,0,0,2.12,4.25,1.06,1.06,0,1.06,30.8,0,2.12,3.19,131.69,0,3.19,2.12,0,0,4.25,0,0,0,0,11.68,1.06,5.31,3.19,0
 96-106,0,0,2.19,0,5.46,2.19,0,46.99,0,5.46,1.09,21.86,2.19,0,1.09,3.28,0,4.37,1.09,4.37,0,31.69,1.09,3.28,1.09,140.98,1.09,3.28,4.37,0,0,1.09,0,0,0,0,2.19,1.09,1.09,1.09,4.37
108-118,0,0,0,0,6.89,4.6,0.77,49.79,0,1.53,1.53,23.74,4.6,0,1.53,0.77,1.53,0.77,1.53,0,1.53,21.45,0,6.89,3.83,130.98,0.77,2.3,2.3,0,0.77,1.53,0,0,0,0,6.13,0.77,3.06,3.83,1.53
120,0,0,1.96,0,9.8,0,0,60.75,0,0,1.96,21.56,0,0,0,1.96,0,1.96,1.96,0,0,17.64,0,1.96,0,162.66,0,0,0,0,0,3.92,0,0,0,0,13.72,0,3.92,1.96,1.96
