stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,29,7,0,0,0,0,0,5,0,8,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,13,0,0,6,0,0,2,0,0
 24-34,0,0,2.46,9.85,49.25,0,1.64,0,0.82,0,46.79,0,7.39,0,0,0,0,0.82,0.82,2.46,0,0,0,10.67,0,0,0,0,0,50.89,0,0,11.49,0,0,31.19,0,0
 36-46,0,0,0.81,1.61,33.03,0,0.81,0,0,1.61,54.79,0.81,5.64,0.81,0,0,0,0,0,16.92,0,0,0.81,14.5,0,0.81,0,0,0,50.76,0,0.81,15.31,0,0,49.15,0,0
 48-58,0,0.57,0,1.72,96.97,0,6.31,0,0.57,3.44,33.28,1.72,21.8,0.57,0,0.57,0,0.57,0.57,74.02,0,0,4.02,10.9,0,3.44,0,0,0,33.28,0,0,29.26,0,1.15,18.94,0,0
 60-70,0,0,0,5.89,98.15,0,4.91,0,0.98,3.93,26.5,0.98,6.87,0,0,0,0,0,0,127.6,0,0.98,6.87,7.85,0,2.94,0,0,3.93,46.13,0.98,0.98,12.76,0,2.94,12.76,0,0.98
 72-82,0,0,0,25.52,211.06,0,18.65,0,0.98,8.83,30.43,3.93,3.93,1.96,0,0,0,4.91,0,235.6,0,3.93,10.8,16.69,0,7.85,0,0,2.94,53.99,0.98,0,4.91,0,4.91,14.72,0,0.98
 84-94,0,1.06,0,60.54,158.24,0,19.12,2.12,3.19,5.31,19.12,8.5,8.5,1.06,1.06,5.31,1.06,4.25,1.06,131.69,0,2.12,5.31,9.56,0,7.43,1.06,0,1.06,143.38,0,0,3.19,1.06,3.19,21.24,1.06,1.06
 96-106,0,0,4.37,119.12,181.41,0,25.14,0,2.19,7.65,19.67,10.93,0,2.19,4.37,12.02,1.09,5.46,0,172.67,1.09,3.28,6.56,17.49,1.09,8.74,0,0,2.19,131.14,0,0,1.09,0,3.28,27.32,2.19,1.09
108-118,0,0,1.53,97.28,107.23,0.77,20.68,3.83,2.3,5.36,10.72,7.66,0,0,0.77,13.02,1.53,3.06,2.3,166.98,0.77,3.83,4.6,20.68,0,4.6,0,0,1.53,94.21,0.77,0,3.06,0,5.36,18.38,2.3,0
120,0,3.92,0,58.79,105.83,0,11.76,1.96,3.92,3.92,7.84,9.8,0,0,0,7.84,1.96,1.96,0,99.95,1.96,1.96,5.88,13.72,1.96,3.92,1.96,0,5.88,88.19,1.96,0,5.88,0,1.96,11.76,0,0
