stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,2,33,0,0,0,1,0,0,2,1,54,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,2.46,0,0,0,4.1,0,0.82,0,0,0,0,0,0.82,9.85,0,2.46,228.2,0,7.39,0,0,0,0,0,2.46,152.68,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,8.06,0,0,0.81,9.67,0,0,0,0,0,0,0,0,8.06,0,1.61,426.2,0,4.83,0,0,0,0,0,0.81,171.61,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,44.18,0,0,0.57,22.38,0,1.15,0,0,0,0.57,0,0,7.46,0.57,2.3,601.35,0,4.59,0,0,0,1.72,0,1.15,126.81,0,0,0,0,1.15
 60-70,0,0,0,4.91,0.98,0,152.14,0,0,0,77.54,0,0,0.98,0,1.96,0.98,0,0.98,17.67,0.98,0,1055.14,0.98,12.76,0.98,0,0.98,1.96,0,0.98,109.93,0,0.98,2.94,0.98,0.98
 72-82,0,0,0,9.82,2.94,0,304.32,0,0,0.98,101.11,1.96,0.98,0.98,0,0.98,0,0,0,50.06,2.94,1.96,1138.73,0,12.76,4.91,0,0,0,0,0,77.55,0,0,3.93,0,0.98
 84-94,0,0,0,7.43,1.06,0,185.86,0,0,4.25,66.91,0,0,0,0,1.06,0,0,0,25.49,1.06,5.31,528.89,0,7.43,2.12,0,0,4.25,0,0,31.86,0,0,0,0,0
 96-106,0,0,0,6.56,3.28,0,202.18,0,1.09,1.09,77.59,0,1.09,0,0,3.28,0,3.28,0,24.04,2.19,1.09,574.84,0,9.84,1.09,0,0,1.09,1.09,1.09,21.86,1.09,0,0,1.09,4.37
108-118,0,0,0,8.43,0.77,1.53,155.49,0,0.77,0,48.26,0,0.77,0,0.77,0.77,0,0,0.77,30.64,2.3,3.06,507.83,0,6.89,2.3,0,0,0.77,0,0,16.85,0.77,0,1.53,1.53,0
120,0,0,0,3.92,0,0,133.27,3.92,1.96,1.96,54.87,0,0,1.96,0,0,0,0,0,19.6,1.96,3.92,678.09,0,1.96,1.96,0,0,3.92,0,0,25.48,0,0,5.88,0,0
