stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,9,0,6,36,0,3,0,0,0,2,2,29,0,0,2,0,0
 24-34,0,0,0,0,3.28,0,1.64,0,0,0.82,0,0,0.82,0,0,0,0,9.85,0,1.64,146.11,0,12.31,0,0,0,3.28,0.82,127.23,0,0,16.42,0,0.82
 36-46,0,0,0.81,0,0.81,0,7.25,0,1.61,1.61,0,0,1.61,0,0,0,0,20.95,0,5.64,148.24,0.81,18.53,0,0.81,0.81,1.61,0,116.82,0,0,8.06,0,0
 48-58,0,0,0,0,1.15,0,10.9,0,2.87,3.44,0.57,0,1.15,0.57,0,0.57,0,51.64,0,6.31,81.48,0,12.05,0,0,0,2.3,0,67.14,0,0,12.05,0,0.57
 60-70,0,0,0,0,2.94,0,13.74,0,1.96,1.96,0,0,2.94,0,0,0,0.98,109.93,0,4.91,74.6,0,18.65,0,0,1.96,0,0,32.39,0,0,4.91,0,0
 72-82,0,0,0,0.98,4.91,0,17.67,0.98,0,3.93,0,0,0,0,0,0,0,215.97,0,7.85,61.84,0,32.39,0.98,0,0,0.98,0,20.61,0,0,14.72,1.96,0
 84-94,0,0,0,0,1.06,0,23.36,0,2.12,2.12,0,0,1.06,0,0,0,0,105.14,1.06,3.19,30.8,1.06,11.68,1.06,0,1.06,1.06,0,11.68,0,1.06,5.31,0,0
 96-106,0,0,0,0,1.09,0,12.02,1.09,2.19,4.37,1.09,0,5.46,0,0,0,0,124.58,3.28,5.46,21.86,0,34.97,2.19,0,0,2.19,0,2.19,0,1.09,9.84,3.28,0
108-118,0,0,0,0.77,3.83,0.77,7.66,0,1.53,1.53,0,0,1.53,0.77,0.77,0,0,143.24,0,2.3,32.94,0,17.62,1.53,0,0,2.3,0,5.36,0.77,0,6.13,0,0
120,0,0,0,0,3.92,0,5.88,0,1.96,3.92,1.96,0,0,0,0,1.96,0,125.43,1.96,3.92,31.36,0,23.52,1.96,0,0,1.96,0,1.96,0,0,13.72,0,0
