stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,1,0,0,0,0,6,0,0,0,16,1,0,0,2,0,0,2,0,0,8,0,0,0
 24-34,0,0,0,0,2.46,0,2.46,0.82,0,0,0,0,0,0,0,0,0.82,117.38,0,0,0,0,0,0,0,0,0.82,26.27,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,2.42,0,0,0,0,1.61,0,0,3.22,264.26,0,0,0,0,0,0.81,0,0,0,27.39,0,0,0
 48-58,0.57,0,0,0,12.05,0.57,0.57,0,7.46,0,0,0,0,1.72,0,0,0.57,297.8,0,0.57,0,0,0,1.15,0,0,0,29.84,0,0,0.57
 60-70,0,0,0.98,0,55.95,0,0.98,0,4.91,0,0,0,0,2.94,0,0.98,0,417.15,0,1.96,0.98,0,0,0,0,0,0,33.37,0,0,0
 72-82,0,0,2.94,0.98,87.37,0,0,0.98,8.83,0.98,0,0.98,0,4.91,0,0,0,400.52,0,0,0,0,0,0,0,0.98,0,22.58,0,0.98,0.98
 84-94,0,0,1.06,0,66.91,0,0,0,5.31,0,1.06,1.06,0,3.19,0,0,0,172.05,0,1.06,2.12,0,0,1.06,0,0,0,11.68,0,0,0
 96-106,0,0,2.19,0,50.27,0,0,0,1.09,0,1.09,1.09,1.09,6.56,1.09,0,0,140.98,0,1.09,0,0,0,1.09,0,0,0,5.46,1.09,0,1.09
108-118,0,0,1.53,0,43.66,0,0,0,5.36,0,0.77,0,0,3.06,0,0,0,137.87,0,0,0.77,0,0.77,0,0,0,0,8.43,0,0.77,0.77
120,0,0,0,0,45.08,0,0,0,5.88,0,0,0,0,3.92,0,0,0,178.34,0,1.96,0,0,0,1.96,0,0,0,7.84,3.92,0,0
