stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,55.17,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,3.22,0,0,0,0,0,0,3.22,0,0,0,0,0.81,0,0
 48-58,0,0,0,1.15,0.57,1.72,0,0,0.57,0,0,0,0.57,8.61,0,1.15,0,0,0,0,0,0,0,0,0,0,0,2.3,0,1.15
 60-70,0,0,0,2.94,1.96,0.98,2.94,0,1.96,0.98,0,0,0,29.45,0,3.93,0.98,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,0,0,6.87,0,2.94,0,0,0,0,68.72,2.94,4.91,3.93,0,0,0.98,0,0,4.91,0,0,0,0.98,2.94,0.98,1.96
 84-94,0,0,1.06,6.37,1.06,0,8.5,1.06,0,2.12,0,1.06,0,37.17,0,1.06,2.12,0,0,0,0,1.06,4.25,1.06,0,0,1.06,1.06,0,0
 96-106,0,0,6.56,4.37,1.09,0,6.56,1.09,6.56,0,0,0,0,51.36,2.19,2.19,4.37,1.09,2.19,0,0,0,10.93,0,0,0,0,8.74,1.09,1.09
108-118,0,0,3.06,5.36,6.13,1.53,6.13,0,0.77,0,3.83,0,2.3,70.47,1.53,4.6,6.89,0,0,0,0,0.77,2.3,0,0.77,0.77,0,7.66,0,2.3
120,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,19.6,1.96,0,1.96,0,1.96,0,0,0,5.88,0,0,0,0,3.92,0,1.96
