stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,27,0,1,0,0,0,4,0,2,2,0,0
 24-34,0,0.82,0,5.75,0,0,0.82,0,0,0,0,0,0,0.82,4.1,0,3.28,73.88,0,0.82,3.28,0,0.82,0,0,1.64,14.78,0,1.64
 36-46,0,0.81,0,8.86,0.81,0.81,2.42,0,0,0.81,0,0,0,0,4.83,0,1.61,70.09,0,0,0.81,0,1.61,0,0,0,12.89,0,1.61
 48-58,0,0,0,19.51,0,0,9.75,0,0,0.57,0,0,0,0,8.61,0,1.15,41.31,0,0,0,0,1.15,0,0,0,5.74,0,0.57
 60-70,0,1.96,0,15.7,0,0,6.87,2.94,0,0,0,0.98,0,0,19.63,0,2.94,38.28,0,0,0,0,0.98,0,0.98,0,3.93,1.96,0
 72-82,0,0.98,0,13.74,0,0,9.82,0,0,0.98,0,0.98,0,0,9.82,0,0.98,27.49,0,0.98,0.98,0,0.98,0,0,0,0,0.98,2.94
 84-94,0,1.06,0,6.37,0,0,1.06,1.06,0,0,0,0,0,0,8.5,2.12,0,4.25,1.06,1.06,0,1.06,1.06,0,0,0,3.19,0,1.06
 96-106,0,1.09,0,7.65,0,2.19,3.28,0,0,0,0,0,0,0,10.93,0,1.09,8.74,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0.77,0.77,5.36,0,0,1.53,0.77,0,0.77,0.77,0.77,0.77,0,6.89,0,0.77,5.36,0,0.77,0,0,2.3,0,0,0,0,0,0
120,0,5.88,0,7.84,0,1.96,3.92,1.96,1.96,3.92,1.96,1.96,0,0,15.68,3.92,0,19.6,0,1.96,0,0,3.92,0,0,0,0,1.96,3.92
