stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,1,1,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,18.88,0,0.82,0,0.82,0,0.82,0,0.82,0,0.82,0,0.82,4.1,0,0,1.64,113.28,0,3.28,0,0,0,1.64,0.82,0,0,0,0,27.09,0,0,3.28,0,0.82
 36-46,0,0,0,0,0,0,16.11,0,0,0.81,5.64,0,0,0.81,0,0,0.81,0.81,0,8.86,0,0,3.22,76.54,0,0,0.81,0,0.81,0.81,0,0,0,0,0,22.56,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.72,0,44.76,0,0.57,0.57,10.33,0,0,0,0.57,0,0,0,0.57,8.03,0,0.57,2.3,52.79,0,0.57,0,0,0,0,0,0,0,0,0,6.89,0,0,1.72,0,0
 60-70,0,0,0,0,1.96,0,62.82,0,0,0.98,20.61,0.98,0,0,0,0.98,0,0,0,16.69,0,1.96,0.98,69.69,0.98,0,0,0,0,1.96,0,0,1.96,0.98,0,8.83,0,0,1.96,0,1.96
 72-82,0,0,0,0,3.93,0,41.23,0.98,0.98,0.98,31.41,0,1.96,0,0.98,0,1.96,0,0.98,46.14,1.96,2.94,5.89,85.4,0,3.93,3.93,0,0,2.94,0,0,0,1.96,0,5.89,0.98,0,4.91,1.96,0.98
 84-94,0,0,0,0,10.62,0,28.68,0,1.06,1.06,21.24,1.06,0,1.06,3.19,1.06,1.06,1.06,0,22.3,0,2.12,6.37,23.36,1.06,2.12,4.25,0,0,3.19,0,0,0,1.06,0,3.19,1.06,0,1.06,1.06,0
 96-106,0,0,1.09,0,9.84,0,17.49,0,2.19,1.09,22.95,5.46,0,6.56,3.28,2.19,4.37,2.19,0,41.53,0,1.09,1.09,40.44,0,3.28,6.56,0,0,7.65,0,0,1.09,0,0,5.46,2.19,1.09,5.46,0,0
108-118,0,0,0,0.77,15.32,2.3,19.92,0,1.53,0.77,21.45,3.06,0,9.96,2.3,2.3,0.77,1.53,1.53,19.15,0,0,2.3,55.92,0.77,0,2.3,0,0,2.3,0,0,0,0.77,0,0.77,3.06,1.53,1.53,0.77,0.77
120,0,0,0,0,11.76,0,33.32,0,1.96,0,27.44,3.92,0,13.72,5.88,0,1.96,1.96,0,35.28,0,1.96,1.96,68.59,0,0,3.92,0,0,19.6,0,0,0,0,0,0,1.96,1.96,7.84,0,0
