stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,128.81,7.89,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,166.79,15.73,0,0,81.82,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,22,1,0,3,0,0,0,0,1,0,1,0,1,0,0,1,1,7,0,0,1,52,1,0,1,3,0,3,12,0,3,20,0,0,0,0,0
 24-34,0,0,0,0.82,14.78,0,0,17.24,0,0,0.82,2.46,0.82,0,0,0.82,2.46,0,0.82,0.82,1.64,14.78,0,0,9.85,133.8,1.64,0,4.1,0,0,18.88,0,2.46,3.28,36.12,0,0,1.64,0,2.46
 36-46,0,0,0,0.81,5.64,0,0,33.84,0,1.61,0.81,1.61,0,0,0.81,2.42,0,0,0,0.81,2.42,34.64,0,0,4.83,90.23,1.61,0.81,3.22,0,0,9.67,0,0.81,0,33.84,0,0,6.45,0,0.81
 48-58,0,0,0,0.57,4.59,0,0,38.44,0,1.15,2.3,9.75,0.57,0,1.15,1.15,0,0,0,0.57,2.3,41.89,1.15,2.3,5.74,77.46,1.15,0.57,1.15,0,0,9.18,0,0.57,0,14.92,0,0.57,0,0,2.87
 60-70,0,0,0,0,5.89,0,0,48.09,1.96,0.98,1.96,17.67,1.96,0,0.98,0.98,0.98,1.96,0.98,0,0.98,53,0,0.98,5.89,79.5,0,0.98,2.94,0,0,9.82,0,0.98,0,7.85,0,0,1.96,0.98,3.93
 72-82,0,0,0,0,8.83,1.96,0,30.43,0.98,2.94,3.93,22.58,0.98,1.96,2.94,2.94,0.98,0,0,1.96,0,47.12,1.96,3.93,3.93,60.86,0,2.94,0.98,0,0.98,15.71,0,0.98,0,3.93,0,0,0.98,1.96,2.94
 84-94,0,0,0,0,13.81,2.12,0,23.36,0,6.37,0,10.62,5.31,2.12,0,7.43,3.19,3.19,0,0,0,37.17,0,2.12,4.25,24.43,4.25,0,1.06,0,0,23.36,0,1.06,0,1.06,0,2.12,3.19,0,4.25
 96-106,0,0,0,0,16.39,2.19,2.19,22.95,0,2.19,0,6.56,6.56,0,3.28,6.56,0,4.37,1.09,1.09,1.09,21.86,1.09,1.09,5.46,25.14,1.09,1.09,4.37,0,0,19.67,0,0,0,3.28,1.09,0,1.09,0,1.09
108-118,0,0,0.77,0,10.72,0.77,5.36,10.72,0,2.3,2.3,6.13,6.89,0,0.77,5.36,2.3,2.3,0.77,1.53,2.3,20.68,0.77,0,2.3,21.45,0.77,1.53,4.6,0,0,30.64,0,0.77,0,0.77,0.77,0.77,3.83,0,3.06
120,0,0,0,0,27.44,0,1.96,11.76,0,9.8,1.96,7.84,11.76,0,0,7.84,3.92,0,1.96,1.96,0,27.44,1.96,0,3.92,17.64,5.88,3.92,1.96,0,0,35.28,0,0,0,0,1.96,0,5.88,0,1.96
