stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,6,93,0,0,0,0,0,0,4,2,0,0,0,0,0
 24-34,0,0,3.28,0.82,0.82,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0,0,1.64,12.31,0,0,1.64,17.24,0.82,0,0,0,0,0,0.82,1.64,0.82,0,0,0,0,0
 36-46,0,0,2.42,0,0.81,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,0,6.45,2.42,0,0,0,35.45,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,1.72,0,1.15,0,0,21.8,0,0,0,1.15,0,0,0,0,0,0,0,17.21,4.02,0,0,0.57,65.41,0,0,0,0,0.57,0,0,0,5.16,0,0,0,0,0
 60-70,0,0,2.94,0,0.98,0,0,282.68,0,0,0,3.93,3.93,0,0,0,0,0,0,9.82,4.91,0,0,0.98,170.78,0,0,0.98,0,0,0,0,0,19.63,0,0,0,0,0
 72-82,0,0,17.67,0,15.71,1.96,0,1230.02,0.98,1.96,2.94,53.01,11.78,0.98,1.96,0,2.94,0,0,18.65,40.25,0,0.98,0.98,502.61,0,0,1.96,0,0.98,0,0,0,42.21,2.94,0.98,2.94,3.93,2.94
 84-94,0,0,10.62,0,18.05,1.06,1.06,790.16,2.12,1.06,0,40.36,12.74,1.06,1.06,0,1.06,1.06,1.06,37.17,24.43,0,3.19,4.25,301.62,0,0,0,0,2.12,0,0,0,18.05,1.06,1.06,4.25,5.31,1.06
 96-106,0,0,19.67,0,22.95,4.37,0,1128.91,0,5.46,0,62.29,30.6,2.19,14.21,1.09,2.19,1.09,2.19,26.23,59.01,1.09,1.09,5.46,385.77,2.19,3.28,4.37,2.19,14.21,1.09,1.09,0,10.93,1.09,0,2.19,8.74,2.19
108-118,0,0,12.26,0,11.49,3.06,0,932.94,0.77,0.77,1.53,50.55,22.21,0,7.66,0,5.36,0.77,0.77,45.19,38.3,0.77,1.53,5.36,496.34,1.53,1.53,1.53,0.77,3.83,0,0.77,0,13.02,0.77,0,0.77,6.89,0.77
120,0,0,5.88,1.96,11.76,3.92,0,711.4,0,3.92,1.96,60.75,15.68,1.96,13.72,1.96,3.92,0,1.96,11.76,33.32,1.96,0,11.76,505.62,1.96,1.96,1.96,0,3.92,0,0,0,19.6,1.96,0,1.96,1.96,0
