stage,epidermis,eye,glial,iridophores,mesenchyme,muscle,neural,notochord,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,2,0,2,0,0,0
 24-34,0,0,0,0,0,0.82,2.46,0,0,0.82,0.82,0
 36-46,0.81,0.81,0,0,1.61,1.61,3.22,0,0,0,0,0
 48-58,0,1.72,0.57,0.57,2.3,0,5.16,0,0,0,0.57,0.57
 60-70,0,2.94,0,0,0.98,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,4.91,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,1.06,0,0,1.06,0,0
 96-106,0,1.09,1.09,1.09,1.09,0,2.19,0,0,0,0,0
108-118,0,1.53,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0
