stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,15,0,0,7,219,0,3,0,0,0,0,21,1,0,27,185,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,10.67,0,0.82,0,1.64,0,0.82,0,0,0,0,0,2.46,23.8,0,0,8.21,620.57,1.64,0.82,0,0,0,0.82,0,0,1.64,2.46,348.04,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,24.98,0,0.81,0.81,8.86,0,0.81,0,0,0,0,0,0,14.5,0,0,9.67,619.56,0,0.81,0.81,0,0,0,0,0,1.61,0,509.99,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0,0,228.37,0.57,0.57,1.72,11.48,0,0,0,0,0.57,0,0,0,12.05,0,0.57,6.31,436.67,0,0.57,0.57,0,0,1.15,0,0,0,0,404.53,0,0.57,0,0,0.57
 60-70,0,0,0,0,3.93,0,0,837.24,0,0,0,7.85,0,0,0,0.98,0,0,0,0,14.72,0,1.96,7.85,345.5,0,0,0,0,0,0.98,0,0.98,0,0,165.88,0,0,0,0.98,0
 72-82,0,0,0.98,0,11.78,1.96,0,1101.42,0.98,0,0,34.36,0,0.98,0.98,0,1.96,0,0.98,0.98,41.23,0,0.98,5.89,504.57,0.98,0,1.96,0,0,0.98,0,0,0,0,65.77,0,0.98,0.98,2.94,1.96
 84-94,0,0,0,0,7.43,2.12,0,583.06,3.19,2.12,2.12,45.67,0,1.06,1.06,1.06,1.06,0,1.06,0,29.74,0,1.06,4.25,281.44,0,0,7.43,0,0,3.19,0,0,1.06,0,33.99,0,2.12,2.12,1.06,1.06
 96-106,0,0,1.09,0,18.58,2.19,0,569.37,0,2.19,6.56,44.81,0,0,3.28,0,3.28,0,1.09,1.09,30.6,0,1.09,3.28,266.65,0,1.09,12.02,0,0,1.09,0,0,1.09,0,26.23,1.09,0,1.09,0,2.19
108-118,0,0,0,0,3.83,0,2.3,361.53,1.53,0.77,0.77,14.55,0,0,0.77,0.77,0.77,0.77,0.77,0,13.79,0.77,1.53,3.06,283.41,0,0.77,7.66,0,1.53,1.53,0,0,2.3,0,13.02,2.3,0,2.3,2.3,0.77
120,0,0,0,0,5.88,1.96,0,284.17,0,1.96,1.96,17.64,0,1.96,3.92,0,0,0,0,0,17.64,0,0,7.84,278.29,1.96,3.92,7.84,0,0,1.96,0,0,0,0,17.64,0,0,0,0,0
