stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.72,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,21,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,6,0,1,1,0,215,1,0,1,1,0,0,0
 24-34,0,0,0,7.39,0,0,1.64,0.82,0,0,0,0,0,0.82,1.64,0,0,0.82,0,1.64,9.85,0,0,1.64,0,292.22,0,0.82,0,1.64,0,0,0
 36-46,0,0,0,4.83,0,0,3.22,0.81,0,0.81,0,0,0,0,2.42,0.81,0,0.81,0.81,1.61,8.86,1.61,0,4.03,0,295.68,0,0.81,0,5.64,0,0,0
 48-58,0,0,0,5.16,0,0,3.44,1.72,0,0.57,0,0.57,0,0,2.87,0,0,0,0,0.57,9.75,0,0.57,3.44,0,141.16,0,0.57,0,2.3,0,1.15,0.57
 60-70,0,0,0,12.76,0,0,2.94,4.91,0,0,0,0,0,0.98,11.78,0,0.98,0.98,0,0,4.91,0,0,4.91,0,253.23,0,0,0,1.96,0.98,0.98,0
 72-82,0,0.98,0,28.47,0.98,0,11.78,1.96,0,0.98,1.96,0,0,0,14.72,0,0,0.98,0.98,0.98,15.71,0,0,5.89,0,167.86,0,0,0,0,0,0,0
 84-94,0,0,0,61.6,2.12,0,3.19,10.62,0,2.12,0,0,1.06,8.5,19.12,0,0,1.06,5.31,0,8.5,0,2.12,22.3,0,565,0,0,0,0,4.25,1.06,0
 96-106,0,0,0,93.98,1.09,0,5.46,14.21,2.19,2.19,6.56,0,0,12.02,29.51,0,0,1.09,7.65,1.09,8.74,0,0,20.76,0,504.9,0,0,0,2.19,2.19,1.09,0
108-118,0,0,0,73.53,0,0.77,2.3,24.51,0.77,1.53,4.6,0,0,13.02,23.74,0,0,3.83,8.43,0.77,11.49,0,0.77,19.92,0.77,379.15,0,0,0,0.77,3.83,1.53,0
120,0,0,0,41.16,0,0,1.96,25.48,0,1.96,3.92,0,0,1.96,25.48,0,0,0,3.92,0,5.88,0,0,23.52,0,203.82,0,0,0,0,0,0,0
