stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,288.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,34.17,0,55.2,0,0,63.09,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,520.49,31.54,0,0,307.56,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.91,0,47.2,0,0,97.56,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,748.98,59.79,0,0,289.52,0,3.15,0,22.03,0,12.59,6.29,0,0,0,0,0
 14-21,0,0,1,7,76,22,16,0,0,0,9,3,1,3,0,1,0,0,0,1,44,0,0,17,431,30,3,5,11,0,6,55,3,3,73,184,0,0,4,0,1
 24-34,0,0.82,2.46,0.82,34.48,0.82,48.43,0,2.46,3.28,17.24,0.82,0,2.46,0,4.93,0.82,1.64,0.82,14.78,52.53,0.82,0,37.76,832.35,10.67,6.57,4.1,0,0,4.93,0,0.82,0,9.85,234.76,0,0,9.03,0,2.46
 36-46,0,0,0.81,0,12.09,0,114.41,0,3.22,7.25,32.23,0,0,3.22,0.81,0,0,2.42,1.61,12.89,75.73,3.22,1.61,24.17,1121.49,5.64,11.28,1.61,0,0.81,8.06,0,1.61,0.81,0,320.66,0,0.81,7.25,0,4.03
 48-58,0,0,0.57,0,8.61,0,181.9,0.57,2.87,4.02,56.81,0,0,3.44,3.44,1.15,0.57,1.72,0.57,23.53,126.81,2.87,2.87,21.23,873.9,3.44,2.3,2.3,0,2.3,4.02,0,2.3,0.57,0,228.37,0,0.57,12.05,0,7.46
 60-70,0,0,0,0,15.7,0.98,273.84,1.96,3.93,3.93,80.48,0,0.98,0,7.85,0.98,0.98,1.96,0,5.89,161.95,0,6.87,15.7,901.04,3.93,4.91,3.93,0,0.98,10.8,0,4.91,0,0,165.88,1.96,2.94,5.89,1.96,2.94
 72-82,0,0,0.98,0,15.71,1.96,219.89,1.96,5.89,12.76,103.07,3.93,0,2.94,13.74,1.96,3.93,2.94,0,6.87,239.53,4.91,11.78,23.56,678.33,2.94,6.87,6.87,0,2.94,7.85,0,5.89,0,0,52.03,0.98,5.89,18.65,8.83,8.83
 84-94,0,0,2.12,1.06,24.43,1.06,135.94,2.12,8.5,4.25,66.91,10.62,0,1.06,18.05,1.06,2.12,4.25,0,22.3,130.63,5.31,8.5,13.81,326.05,8.5,1.06,4.25,0,1.06,14.87,0,5.31,0,0,37.17,2.12,4.25,16.99,4.25,5.31
 96-106,0,0,3.28,0,29.51,1.09,113.66,2.19,3.28,3.28,62.29,14.21,0,2.19,15.3,4.37,3.28,8.74,3.28,12.02,118.03,8.74,13.11,9.84,259,9.84,10.93,14.21,0,3.28,7.65,0,2.19,1.09,0,14.21,1.09,3.28,17.49,12.02,3.28
108-118,0,0,0,0,28.34,0,104.17,0.77,10.72,5.36,63.57,6.89,0,1.53,13.79,1.53,8.43,3.06,0.77,10.72,101.87,2.3,3.83,8.43,311.75,6.13,7.66,6.89,0,3.06,10.72,0,5.36,0,0,10.72,3.06,3.06,12.26,6.89,3.06
120,0,0,3.92,0,23.52,0,80.35,3.92,15.68,3.92,45.08,15.68,0,5.88,17.64,0,3.92,0,0,5.88,66.63,1.96,1.96,19.6,311.61,5.88,1.96,0,0,0,19.6,0,1.96,0,0,11.76,1.96,0,11.76,1.96,0
