stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,42.91,153.24,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,7.89,0,2.63,0,0,10.51,0,0,0,0,13.14,0,0,0,0,0,126.18,5.26,0,31.54,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,116.44,0,0,62.94,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,3,0,2,0,0,5,1,0,0,0,3,0,2,30,0,0,3,1,1,0,6,18,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0,0.82,0,0,0,0,2.46,0,0.82,18.88,0,0.82,0,0,0,0,0,5.75,0,1.64
 36-46,0,0,0,0,0.81,0,4.03,0.81,0,1.61,0,0,0,0,0,0,1.61,32.23,0,1.61,0,0,0,0,0,8.86,0,0
 48-58,0,0,0,0,0,0,10.33,0,0,0.57,0,0,0,0,2.87,1.15,0.57,34.43,0,0.57,0,0,0,0,0,4.02,0,2.3
 60-70,0,0,0,0,1.96,0,3.93,0,0,2.94,0,0,0,0.98,4.91,0,0,32.39,0,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0.98,13.74,0,1.96,1.96,0,0,0,0,9.82,0.98,1.96,33.38,0,0.98,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,3.19,0,0,1.06,0,0,0,0,2.12,1.06,1.06,10.62,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,3.28,0,0,0,0,0,1.09,0,3.28,0,1.09,7.65,0,0,0,1.09,0,0,0,1.09,1.09,1.09
108-118,0,0,0,0,0,0,5.36,0,0,0.77,0,0,0,0,0.77,0.77,0.77,11.49,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,1.96,0,9.8,0,0,0,0,0,0,0,1.96,0,0
