stage,eye,fin.mesenchyme,glial,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,otic,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0.82,0,0.82,1.64
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0
 48-58,1.72,0,0.57,0,0,0.57,0.57,0.57,1.15,0,0,0
 60-70,4.91,0,0,0.98,0,0,0,0,1.96,0,0,0
 72-82,0,0.98,0,0,0,0,0,0.98,0.98,0,0,0
 84-94,1.06,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,1.09,0,0,0,1.09,0,2.19,0,1.09,0,0,0
108-118,1.53,0,0,0.77,0,0.77,3.06,0,0.77,0.77,0,0
120,1.96,0,0,0,0,0,0,0,0,0,1.96,0
