stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,42.91,606.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,7.89,0,0,0,18.4,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,123.55,7.89,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,12.59,0,0,44.06,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,14,28,3,0,1,2,0,5,0,5,243,513,9,0,0,0,0
 24-34,0,0,0.82,0.82,21.34,0.82,0,6.57,2.46,1.64,0.82,0.82,0,0,1.64,0.82,0.82,0,1.64,0,0,22.98,0.82,0,36.12,43.51,0.82,2.46,0.82,0,0,10.67,0,0,119.02,135.44,16.42,0,3.28,0,0
 36-46,0,0,0,0,4.83,0,0,11.28,14.5,0.81,0.81,0,0.81,0,2.42,0,0,0,0.81,0,0.81,13.7,0,0,12.09,33.84,0.81,4.83,2.42,0,0,13.7,0,0,62.84,0.81,13.7,0,0,0,0
 48-58,0,0,0,0.57,4.02,0,0,31.56,35.58,1.72,1.15,4.02,0,0,2.87,0,0.57,0,1.72,0,0,28.12,0,0,17.79,43.61,1.72,1.72,2.87,0.57,0,10.33,0,0,45.9,0.57,10.33,0,1.15,0,0
 60-70,0,0,0,0,2.94,0,0,21.59,33.37,2.94,0,6.87,0,0,3.93,0.98,0,0,4.91,0,0,25.52,0,0,17.67,33.37,0.98,2.94,2.94,0,0,9.82,0,0,31.41,0,7.85,0.98,2.94,0,0.98
 72-82,0,0,0,0,4.91,0.98,0,14.72,37.3,0,1.96,19.63,2.94,0,1.96,1.96,0.98,0,3.93,0,0,31.41,0,0.98,15.71,53.99,0.98,3.93,6.87,0,0,25.52,0,0,25.52,0,5.89,1.96,4.91,1.96,0
 84-94,0,0,0,0,9.56,3.19,0,20.18,41.42,4.25,0,12.74,1.06,0,2.12,4.25,0,1.06,3.19,1.06,0,23.36,0,0,21.24,26.55,0,6.37,12.74,0,1.06,66.91,0,0,59.47,0,6.37,2.12,2.12,1.06,1.06
 96-106,0,0,2.19,0,15.3,4.37,1.09,14.21,72.13,0,0,18.58,1.09,0,7.65,6.56,0,4.37,5.46,5.46,0,28.41,2.19,0,26.23,43.71,2.19,8.74,7.65,1.09,2.19,42.62,0,0,51.36,0,4.37,2.19,3.28,0,0
108-118,0,0,0,0,7.66,2.3,2.3,9.19,64.34,3.06,0,19.15,0.77,0,3.06,2.3,0,4.6,1.53,1.53,0.77,20.68,0.77,1.53,28.34,37.53,2.3,6.89,12.26,0.77,0,42.13,0,0,62.81,0,2.3,4.6,2.3,0.77,0.77
120,0,0,0,0,5.88,0,0,15.68,31.36,0,0,17.64,0,0,3.92,3.92,0,1.96,1.96,0,0,33.32,0,3.92,27.44,35.28,0,1.96,9.8,0,0,35.28,0,1.96,17.64,0,0,0,0,0,0
