stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,15.77,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2,8,0,0,0,0,0,0,1,0,0,6,0,1
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,16.42,0,0,1.64,2.46,0.82,13.95,0,0,0,0,0,0,0,0,0.82,1.64,0,0
 36-46,0,0,0,0,2.42,0.81,0,0,0,0,0,0,28.2,0,0,0,1.61,0,16.11,0,0.81,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,8.03,0,0,0.57,0,0.57,0,0,52.79,0.57,0,0,2.3,0.57,11.48,0,0,0,0,0.57,0,0,0.57,0,1.72,0,0.57
 60-70,0,0,0,0,3.93,0,0,2.94,0,0,0,0,115.82,0,0,0,0.98,0,11.78,0,0.98,0,0,0,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,0.98,3.93,0,0.98,0,0.98,0,0.98,0,100.13,0,0,0,1.96,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,6.37,0,0,1.06,0,0,0,0,134.88,0,0,0,2.12,0,2.12,0,0,2.12,0,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,4.37,0,0,0,0,0,0,0,130.05,0,1.09,0,0,0,2.19,1.09,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0.77,1.53,1.53,0,0,1.53,0,0,0.77,1.53,182.3,0,0,0,5.36,0.77,6.89,0,0,1.53,0,0.77,0,0,0,0,0.77,0,0
120,0,0,1.96,1.96,7.84,0,0,0,0,0,0,0,111.71,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,3.92,0
