stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,0,0,0,0,16,0,0,0,2,0,0,11,1,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0.82,0,4.93,0,0,0,0,0,29.55,0,0,0,0.82,0,0.82,28.73,0,0,0,0,0.82,0,0.82,0,0,8.21,0,0,1.64,0
 36-46,0,0,0,0.81,0,12.89,0,0,1.61,0,0,43.51,0,0,0,7.25,0.81,1.61,35.45,0,0.81,0,0,1.61,0.81,0,0.81,0,4.83,0,0,0,0
 48-58,0,0,0,0,0.57,9.18,1.72,1.15,1.72,0,0,51.64,0,0,0,13.77,0,1.72,10.9,1.15,0,0,0,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,16.69,0,0,0.98,0,0,51.04,0,0,0,36.32,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,19.63,0,0,0,0,0,14.72,0,0,0,42.21,0.98,0.98,13.74,0,0,0,0,0.98,0,0,0,0,0,0.98,8.83,0,4.91
 84-94,0,0,0,1.06,1.06,10.62,0,0,0,1.06,0,70.09,1.06,0,1.06,24.43,1.06,1.06,7.43,0,0,1.06,0,0,0,0,0,0,0,0,6.37,0,9.56
 96-106,0,0,0,1.09,1.09,13.11,2.19,0,0,3.28,0,33.88,0,1.09,0,25.14,0,1.09,4.37,1.09,0,0,0,0,0,0,0,0,0,0,7.65,0,10.93
108-118,0,0,0,0,0.77,6.89,0,0,0.77,0.77,0,57.45,0.77,0,0,16.09,0,0.77,8.43,0,0,0,0,0.77,0,0,0,0,0.77,0,3.06,0,3.06
120,0,0,0,0,0,0,0,0,0,3.92,0,109.75,0,0,0,19.6,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,1.96,0,5.88
