stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,3.15,37.76,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,242.32,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,0,18,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,1,165,1,3,1,0,0,0,0,2,2,0,2,74,0,0,0,0
 24-34,0,0,0,1.64,3.28,0,50.07,0,0,8.21,0,0.82,0.82,0,0.82,0.82,2.46,0,0,3.28,2.46,0,4.93,412.89,0,5.75,3.28,0,0,3.28,0,0,0.82,0,0,144.47,0,2.46,0,0.82
 36-46,0,0,0.81,0,2.42,0,94.26,0,0,37.06,0,0,0,0,0.81,0,0,0.81,0,6.45,0,0,0.81,370.61,0,7.25,1.61,0,0.81,0,0,0,0.81,0,0,161.94,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,134.27,0,0.57,82.05,0.57,0,0,1.15,0,0,0,0.57,1.15,4.59,0,0,1.15,167.55,0,6.31,1.15,0,0,1.15,0.57,0,0,0,0,117.06,0,0,0,0
 60-70,0,0,0,0,0.98,0,121.71,0.98,0,99.13,0.98,0,0,0.98,0.98,0,0,0,0,13.74,0,0,0,95.21,0,7.85,5.89,0,0,0,0,0,0,0.98,0,39.26,0,0,0,0
 72-82,0,0,0.98,0,2.94,0,90.31,0,0,116.82,0.98,0,0,0.98,0.98,0,0,0,0,10.8,1.96,0.98,0,84.42,0,8.83,5.89,0,0,0.98,0,0,0,0,0,7.85,0,0.98,0.98,0
 84-94,0,0,2.12,0,3.19,0,82.84,0,0,70.09,2.12,0,0,0,1.06,1.06,0,0,1.06,12.74,0,1.06,0,60.54,0,6.37,7.43,0,0,1.06,0,0,0,0,0,9.56,2.12,1.06,0,0
 96-106,0,0,2.19,0,3.28,1.09,43.71,1.09,0,68.85,4.37,0,0,5.46,1.09,0,4.37,0,0,10.93,1.09,0,1.09,51.36,0,6.56,6.56,0,0,1.09,0,0,0,0,0,3.28,1.09,1.09,0,0
108-118,0,0,0.77,0,2.3,1.53,39.06,0,0,63.57,1.53,0,0,4.6,0.77,0.77,0.77,0,0.77,5.36,1.53,0,0.77,48.26,0,5.36,2.3,0,0,2.3,0,0,0,0,0,2.3,0,0,0,0
120,0,0,0,0,0,1.96,29.4,0,0,64.67,0,0,0,7.84,3.92,0,1.96,1.96,0,3.92,1.96,1.96,0,50.95,0,5.88,5.88,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0
