stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,303.09,3650.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0
  5-6,331,4591.1,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,226.8,18.39,0,0,42.91,0,61.3,0,0,0,0,0,0,0,0,0
  7-9,15.77,47.32,57.83,0,0,0,97.26,0,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,1248.64,36.8,0,0,389.05,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,18.88,25.18,0,3.15,0,66.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607.37,6.29,0,0,239.17,0,0,3.15,3.15,37.76,0,0,0,0,0,0
 14-21,1,0,5,32,5,0,21,0,0,6,6,1,1,0,0,1,0,0,24,0,0,13,320,3,0,0,8,0,0,0,42,4,1,24,81,0,0,0
 24-34,0,0,1.64,2.46,0,0,40.22,0,0,5.75,0.82,0,0,0.82,0,0,0,0.82,28.73,0,0,10.67,355.43,0,0.82,4.1,0,0,2.46,0,0,0,0,0.82,75.52,0,2.46,0.82
 36-46,0,0,0,1.61,0,0,61.23,0,0,8.86,0,0,0,0.81,0,0.81,0,0,27.39,0,0,4.03,155.49,0,4.83,0,0,0,0.81,0,0,0,0,0,41.09,0,0.81,0
 48-58,0,0,0,1.72,0,0,80.33,0,0.57,16.07,0,0,0,0,0.57,1.15,0,0.57,32.71,0,2.3,3.44,105.01,0,0.57,1.15,0,0,0.57,0,0,0,0,0,18.94,0,1.15,0.57
 60-70,0,0,0,1.96,0,0,34.35,0,0,10.8,0.98,0,0,0,0,0.98,0,0,16.69,0.98,0,1.96,52.02,0,0,0.98,0,0,0,0,0,0,0,0,3.93,0.98,0.98,0
 72-82,0,0,0,1.96,0,0,24.54,0.98,0.98,12.76,0.98,0,0,0.98,0.98,0,0,0,22.58,0,1.96,1.96,28.47,0,0.98,0,0,0,0.98,0,0,0,0,0,0.98,0,2.94,0.98
 84-94,0,0,0,1.06,0,0,15.93,0,0,1.06,1.06,0,0,0,1.06,0,0,0,11.68,0,0,2.12,9.56,1.06,1.06,0,0,0,0,0,0,0,0,0,2.12,0,2.12,1.06
 96-106,0,0,0,1.09,0,0,15.3,0,0,4.37,0,0,0,0,0,0,0,0,14.21,0,1.09,1.09,15.3,0,0,0,0,1.09,0,0,0,0,0,0,2.19,0,2.19,0
108-118,0,0,0,2.3,0,0.77,6.89,0,0,3.06,0,0,0,0,0,0,0,0,3.06,0,0,0.77,16.09,0,0,0.77,0,0,1.53,0,0,0,0,0,0.77,0,0,0
120,0,0,0,7.84,1.96,0,9.8,0,1.96,0,0,0,0,0,1.96,0,1.96,0,7.84,0,0,1.96,27.44,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
