stage,erythrocytes,eye,fin.epithelia,glial,ionocyte,mesenchyme,mucous,neural,periderm,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,1,8,0
 24-34,0,0,0,0,0,0.82,0,0.82,26.27,0
 36-46,0,0,0.81,0,0,0,0,2.42,36.26,0
 48-58,0.57,0,0,0.57,0,0,0.57,0.57,21.23,0
 60-70,0,0,0,0,0.98,0,0,0.98,23.56,0
 72-82,0,0,0,0,0.98,0,0,0,25.52,0
 84-94,0,0,0,0,1.06,1.06,1.06,0,55.23,0
 96-106,0,0,0,0,1.09,0,0,0,51.36,1.09
108-118,0,0.77,0.77,0,1.53,0,0,1.53,46.72,0
120,0,0,1.96,0,0,0,0,0,56.83,0
