stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63,0,0,0,34.17,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.38,6.29,0,0,40.91,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,12,2,0,5,0,0,0,7,0,0,0,0,0,0,0,4,0,7,99,1,0,3,3,0,0,0,13,0,11,48,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0,22.16,0,0,1.64,0.82,0,0,0,0,0,0.82,0,12.31,0,9.03,158.43,0,4.1,2.46,0,0,0.82,0,0.82,0.82,1.64,46.79,0,0,3.28,0,0
 36-46,0,0,0,0.81,0.81,0,0,36.26,0,0,0.81,10.47,0,0.81,0,0,0,0,0,16.11,0,4.83,165.97,0,4.83,1.61,0,0,0,0,0,0,0,42.7,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,64.27,0.57,0.57,0.57,19.51,1.15,1.15,0,0,0,0,0.57,20.08,0.57,3.44,148.62,0,1.15,1.72,0,0,0.57,0,0,0,0,26.97,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,0,0,0,91.28,0,0,0,20.61,0,0.98,0,0,0.98,0,0,33.37,1.96,3.93,160.97,0,1.96,2.94,0,0,0,0,0,0,0,16.69,0,0,0,0,1.96
 72-82,0,0,0.98,0,1.96,0.98,0,79.51,0,0,0,8.83,0.98,0.98,0.98,0,0.98,0,0,47.12,0,4.91,158.05,0,5.89,2.94,0,0,0,0,0,0,0,7.85,0,1.96,0,0.98,0.98
 84-94,0,0,1.06,0,4.25,0,0,54.16,0,0,1.06,7.43,1.06,0,0,1.06,1.06,0,0,26.55,2.12,4.25,89.21,0,6.37,2.12,0,0,1.06,0,0,0,0,5.31,0,0,1.06,3.19,0
 96-106,0,0,0,0,0,0,1.09,49.18,0,1.09,3.28,12.02,1.09,0,0,0,0,2.19,0,27.32,0,3.28,74.31,0,16.39,2.19,0,2.19,1.09,0,0,1.09,0,3.28,1.09,0,2.19,3.28,0
108-118,0,0,0.77,0,3.06,0,0,34.47,0,0.77,0,13.79,0,0,0,0,0.77,0.77,0,15.32,0.77,2.3,78.13,0,2.3,1.53,0,0.77,0.77,0,0,0,0,1.53,0,0,0,0,0.77
120,0,0,0,0,0,0,0,29.4,0,0,0,3.92,1.96,0,0,0,0,0,0,9.8,0,0,72.51,0,1.96,3.92,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0
