stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,18.4,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,34.62,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,9.44,0,0,28.32,0,0,0,15.73,3.15,0,0,0,0,0
 14-21,0,0,3,2,27,9,4,0,0,96,4,0,0,0,0,0,0,0,0,23,0,0,5,139,9,5,46,15,2,1,11,145,4,338,0,0,0,0
 24-34,0,0,4.1,2.46,12.31,1.64,9.03,0.82,1.64,63.21,0.82,0,0,0,0,0,6.57,0,0,16.42,0,0,4.1,142.01,2.46,26.27,26.27,0,0,0,0,44.33,5.75,203.57,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0.81,0,1.61,49.95,1.61,0,0,0,0,0,4.03,1.61,0,17.72,0,0.81,3.22,86.21,0,25.78,10.47,0,0.81,0,0,16.92,0,89.43,0,0,0,0
 48-58,0,0,1.15,0,3.44,0,14.92,0.57,0.57,62.54,0.57,0,0,0,0,0.57,5.74,1.15,0,41.89,0,1.72,3.44,53.94,0,16.07,10.33,0,0,0,0,6.89,0,90.09,0,0.57,0,0.57
 60-70,0,0,0.98,0,3.93,0,12.76,0,2.94,73.61,2.94,0,0,0,0.98,0,9.82,0,0.98,56.93,0,0,0,45.15,0,25.52,12.76,0,0,0,0,4.91,0,28.46,0,0.98,0,0
 72-82,0,0,9.82,0,1.96,0,13.74,0.98,4.91,87.37,5.89,0,0,0,1.96,0,19.63,0,0,113.87,0,0.98,2.94,46.14,0.98,31.41,47.12,0,0,0,0,5.89,0,31.41,0,0.98,0.98,0
 84-94,0,0,10.62,2.12,5.31,0,16.99,0,1.06,61.6,5.31,0,2.12,0,0,0,21.24,0,0,81.78,0,1.06,3.19,27.61,0,45.67,48.85,0,1.06,0,0,13.81,0,22.3,0,1.06,1.06,0
 96-106,0,0,15.3,3.28,4.37,0,20.76,0,2.19,48.09,7.65,0,1.09,2.19,1.09,0,38.25,1.09,0,56.83,2.19,0,3.28,24.04,0,57.92,62.29,0,0,0,0,12.02,0,22.95,1.09,2.19,0,0
108-118,0,0,4.6,1.53,9.96,0,6.89,0.77,1.53,45.19,1.53,0,0,1.53,0.77,0,17.62,0.77,0,39.83,0,0,0.77,36,0.77,45.19,44.43,0,0,0,0,6.89,0,15.32,0.77,0,0,0
120,0,0,1.96,0,1.96,0,5.88,0,0,15.68,1.96,0,0,0,0,0,15.68,0,0,13.72,0,0,3.92,17.64,0,23.52,19.6,0,0,0,0,9.8,0,5.88,0,0,0,0
