stage,epidermis,eye,glial,hatching.gland,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,1,0,1,0,0,0,0,0,10,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,2.46,0,0.82,10.67,0.82,0,0,0,0,0,6.57,0
 36-46,0,0.81,0.81,0,0,1.61,0,0.81,9.67,0,0,0,0,0.81,0,6.45,0.81
 48-58,0,2.3,0.57,0.57,0,8.61,0,0.57,9.75,0,0,0,0,0,0,7.46,0
 60-70,0,3.93,1.96,0,0,3.93,0,0.98,10.8,0,0,0,0,0,0,5.89,0
 72-82,0.98,2.94,0.98,0,0,10.8,0.98,0,30.43,0,0.98,0,0,0,0,2.94,0
 84-94,0,3.19,1.06,0,0,2.12,0,1.06,10.62,0,0,0,0,0,0,2.12,0
 96-106,0,4.37,0,0,0,5.46,0,1.09,15.3,0,0,0,0,0,0,3.28,0
108-118,0.77,2.3,3.06,0,0,0,0,0,12.26,0,0,0.77,0,0,0,2.3,0
120,0,5.88,3.92,0,1.96,1.96,0,0,17.64,0,0,1.96,0,0,0,1.96,0
