stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,taste
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,4.03,0,0,0,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,18.94,0,0,0.57,0,0,1.15,0,0,3.44,0,0.57,0
 60-70,0,0,0,114.84,0,0,0,0,0,0,0,0,5.89,0.98,0.98,0
 72-82,0,0,0,163.94,0,0,0,0,0.98,0.98,0,0,3.93,0,0,0
 84-94,0,0,1.06,151.87,0,1.06,0,0,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,1.09,149.72,1.09,0,0,0,0,2.19,0,0,3.28,1.09,0,0
108-118,0,0,0,116.43,0,3.06,0,0.77,0,0.77,0,0.77,2.3,0,0,0
120,0,0,0,111.71,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96
