stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,14,0,2,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,8.21,0,3.28,0.82,5.75,0,31.19,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,8.86,0,1.61,0.81,1.61,0,16.11,0,1.61,0,0
 48-58,0,0.57,0,0,1.15,0,0,0,0,0,0,0,0,0,5.16,0,0,2.3,0,0,9.18,0.57,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,3.93,0,1.96,0.98,0.98,0,13.74,0,0.98,0,0
 72-82,0,0,0,0,2.94,0.98,0,1.96,0,0,0,0,0.98,0,11.78,0,1.96,2.94,0.98,0,16.69,0,0,0,0
 84-94,0,1.06,0,0,3.19,0,0,0,0,0,0,0,1.06,0,1.06,0,0,3.19,1.06,0,53.1,0,1.06,0,0
 96-106,0,2.19,2.19,1.09,2.19,0,0,1.09,1.09,0,0,0,3.28,0,7.65,1.09,1.09,2.19,2.19,0,39.34,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0.77,0.77,0.77,0,0,1.53,6.13,0,1.53,0.77,2.3,0,36.77,0,0,0,0.77
120,0,3.92,0,0,0,0,0,0,1.96,0,0,0,0,1.96,3.92,0,1.96,3.92,1.96,0,27.44,0,1.96,0,0
