stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,131.78,2701.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0
  5-6,67.43,704.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,28.92,2.63,0,5.26,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,92,23.66,0,0,110.41,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,3.15,0,12.59,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,472.05,84.97,0,0,522.4,0,0,3.15,18.88,15.73,0,25.18,3.15,0,0,0
 14-21,1,0,0,3,241,5,0,14,5,0,3,4,6,0,2,0,0,2,0,19,0,0,66,40,32,1,2,20,0,3,0,163,5,4,727,37,0,12,0
 24-34,0,0,0,2.46,75.52,1.64,0,20.52,15.6,3.28,3.28,6.57,0.82,0,0,0,1.64,1.64,0,41.04,0,0,80.44,65.67,11.49,1.64,4.1,0,0,8.21,0,0,5.75,0.82,73.88,50.07,0,45.15,0
 36-46,0,0,0,0,14.5,0.81,0,16.92,3.22,6.45,3.22,0.81,1.61,0,0,0,0,0.81,0,47.53,0,0,32.23,87.01,4.83,2.42,2.42,0,0,8.86,0,0.81,0.81,0,0,38.67,0,31.42,0
 48-58,0,0,0,0,10.9,0.57,0,25.25,2.87,5.16,6.31,0,0.57,0,0,0,2.3,0,0,43.61,1.72,0,16.64,115.91,2.3,1.15,1.15,0,0,2.3,0,0,0,0,0,30.99,0,18.94,0.57
 60-70,0,0,0,0,17.67,0.98,0,16.69,6.87,4.91,7.85,0,0.98,0,0,0,0,0,0,38.28,0.98,0,10.8,255.2,0,4.91,3.93,0,0,0.98,0,0,1.96,0.98,0,50.06,0,9.82,0
 72-82,0,0,0,0,22.58,0,0.98,45.16,6.87,9.82,19.63,1.96,0,0,0,0,0.98,0.98,0,53.01,0.98,0,5.89,310.21,0,8.83,8.83,0,0,1.96,0.98,0,0,0.98,0,41.23,0.98,15.71,0
 84-94,0,0,4.25,1.06,22.3,0,4.25,50.98,2.12,7.43,12.74,3.19,1.06,0,0,1.06,0,1.06,1.06,53.1,0,0,12.74,170.99,0,4.25,10.62,0,1.06,3.19,0,0,2.12,0,0,30.8,0,16.99,0
 96-106,0,0,1.09,0,15.3,1.09,8.74,45.9,6.56,3.28,14.21,2.19,0,1.09,1.09,0,0,1.09,0,38.25,0,1.09,8.74,166.11,0,3.28,13.11,0,0,1.09,0,0,1.09,0,0,15.3,0,17.49,0
108-118,0,0,0.77,0.77,13.02,1.53,27.57,31.4,8.43,3.83,17.62,8.43,0,0,1.53,0.77,0,0,0,30.64,1.53,0,9.19,177.7,0,6.13,8.43,0,1.53,0,0,0,0,1.53,0,13.02,0,21.45,0
120,0,0,5.88,0,19.6,1.96,9.8,31.36,5.88,3.92,11.76,19.6,0,0,5.88,0,0,3.92,0,27.44,1.96,0,9.8,264.57,0,0,11.76,0,0,1.96,0,0,0,0,0,13.72,0,7.84,0
