stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,27,1,0,6,0,0,0,6,0,0,0,0,1,0,0,0,0,11,0,0,6,48,1,0,1,0,0,1,5,0,7,21,0,0,4,0,0
 24-34,0.82,0,0,0.82,16.42,1.64,0,10.67,0,3.28,0.82,4.1,0.82,0,2.46,0,1.64,0,2.46,0,0.82,28.73,0,0,25.45,88.65,1.64,2.46,4.1,0,0,2.46,0,0.82,1.64,33.66,0,0,18.88,0,0.82
 36-46,0,0,0,0,6.45,0,0,7.25,0,1.61,1.61,4.03,0.81,0,0,0.81,0,0,1.61,0,0.81,53.98,0,0,16.11,65.26,3.22,2.42,4.03,0,0,8.86,0.81,1.61,0,16.92,0,0,13.7,0,1.61
 48-58,0,0,0,0,16.07,0,0,13.2,0,3.44,2.87,3.44,0.57,0,1.72,1.15,1.15,1.15,2.87,0,1.72,76.89,1.72,3.44,20.08,38.44,0,1.72,2.3,0,0,2.87,0,0,0,13.77,0,0,10.9,0,5.16
 60-70,0,0,0,0,16.69,0.98,0,11.78,0,6.87,6.87,14.72,0,0,0,1.96,0.98,4.91,1.96,0,1.96,115.82,1.96,1.96,14.72,52.02,1.96,0.98,5.89,0,0,3.93,0,0,0,6.87,0,0.98,12.76,0,2.94
 72-82,0,0,0,0,19.63,0.98,0,23.56,0.98,4.91,4.91,27.49,2.94,0.98,3.93,1.96,0.98,1.96,4.91,0.98,3.93,191.42,2.94,5.89,25.52,53.99,0.98,0.98,0.98,0,2.94,3.93,0,0.98,0,6.87,0,4.91,27.49,4.91,6.87
 84-94,0,0,1.06,0,28.68,2.12,5.31,26.55,0,10.62,7.43,14.87,4.25,0,1.06,7.43,4.25,7.43,2.12,1.06,4.25,121.07,1.06,3.19,7.43,23.36,3.19,2.12,4.25,0,4.25,20.18,0,3.19,0,4.25,3.19,1.06,18.05,2.12,3.19
 96-106,0,0,1.09,0,25.14,1.09,6.56,28.41,1.09,6.56,6.56,17.49,8.74,0,7.65,5.46,4.37,4.37,4.37,1.09,2.19,118.03,0,5.46,15.3,31.69,1.09,3.28,4.37,0,5.46,20.76,0,1.09,0,1.09,0,3.28,24.04,2.19,4.37
108-118,0,0,0.77,0,38.3,1.53,6.89,25.28,0.77,8.43,4.6,13.02,8.43,0,2.3,6.13,3.06,6.89,6.13,1.53,2.3,127.92,0,6.13,8.43,48.26,5.36,1.53,3.83,0,1.53,7.66,0,0.77,0,3.06,0.77,1.53,18.38,4.6,10.72
120,0,0,0,0,39.2,1.96,1.96,5.88,0,0,5.88,9.8,11.76,0,0,7.84,3.92,7.84,1.96,3.92,0,48.99,0,0,5.88,33.32,1.96,0,5.88,0,0,11.76,0,1.96,0,3.92,1.96,0,15.68,1.96,3.92
